basketball-v2/SuccessRate,basketball-v2/StdReturn,Average/SuccessRate,GaussianMLPPolicy/KLBefore,basketball-v2/AverageDiscountedReturn,Average/MinReturn,MetaTest/basketball-v2/StdReturn,MetaTest/basketball-v2/TerminationRate,basketball-v2/MinReturn,basketball-v2/NumEpisodes,GaussianMLPPolicy/LossBefore,MetaTest/basketball-v2/SuccessRate,GaussianMLPPolicy/Entropy,Iteration,MetaTest/Average/Iteration,Average/StdReturn,GaussianMLPPolicy/dLoss,MetaTest/basketball-v2/AverageReturn,MetaTest/basketball-v2/Iteration,MetaTest/Average/AverageReturn,Average/NumEpisodes,MetaTest/basketball-v2/AverageDiscountedReturn,MetaTest/Average/AverageDiscountedReturn,MetaTest/basketball-v2/MaxReturn,Average/MaxReturn,MetaTest/Average/StdReturn,MetaTest/basketball-v2/NumEpisodes,MetaTest/Average/SuccessRate,basketball-v2/TerminationRate,MetaTest/Average/MaxReturn,MetaTest/Average/TerminationRate,TotalEnvSteps,GaussianMLPPolicy/KLAfter,Average/AverageDiscountedReturn,GaussianMLPPolicy/LossAfter,basketball-v2/MaxReturn,basketball-v2/AverageReturn,Average/TerminationRate,MetaTest/Average/MinReturn,MetaTest/Average/NumEpisodes,MetaTest/basketball-v2/MinReturn,Average/AverageReturn,basketball-v2/Iteration,Average/Iteration
0.0,5.180950262184767,0.0,0.0,2.0735321892284664,0.3838227074517888,6.5319708319497725,0.0,0.3838227074517888,900,0.0005060351686552167,0.0,5.680790901184082,0,0,5.180950262184767,0.0009021903679240495,10.395448397540472,0,10.395448397540472,900,10.395448397540472,10.395448397540472,35.73270695406454,76.77342143977671,6.5319708319497725,50,0.0,0.0,35.73270695406454,0.0,900000,0.006677723024040461,2.0735321892284664,-0.0003961551992688328,76.77342143977671,5.966563227765633,0.0,2.654591153555587,50,2.654591153555587,5.966563227765633,0,0
0.0,10.225957365074121,0.0,0.0,3.8848670410797235,1.0486819832690202,8.462202184411977,0.0,1.0486819832690202,900,-0.00038552406476810575,0.0,5.675330638885498,1,1,10.225957365074121,6.904418114572763e-05,12.147907810994504,1,12.147907810994504,900,12.147907810994502,12.147907810994502,47.37162573049703,140.2976167014063,8.462202184411977,50,0.0,0.0,47.37162573049703,0.0,1800000,0.006661524064838886,3.8848670410797235,-0.0004545682459138334,140.2976167014063,10.475524626454924,0.0,2.4149782652570253,50,2.4149782652570253,10.475524626454924,1,1
0.0,9.041120623064042,0.0,0.0,4.494192555210204,1.6748447388920904,6.913320391393441,0.0,1.6748447388920904,900,-0.001742712571285665,0.0,5.641634941101074,2,2,9.041120623064042,0.0008024919079616666,11.056169468042324,2,11.056169468042324,900,11.05616946804232,11.05616946804232,33.33535208227156,144.84988668249096,6.913320391393441,50,0.0,0.0,33.33535208227156,0.0,2700000,0.006447548512369394,4.494192555210204,-0.0025452044792473316,144.84988668249096,12.496068402060628,0.0,2.5649876089834382,50,2.5649876089834382,12.496068402060628,2,2
0.0,9.080734223003109,0.0,0.0,4.5729828746138725,1.162483685691232,7.804571148181754,0.0,1.162483685691232,900,-0.0020108644384890795,0.0,5.606177806854248,3,3,9.080734223003109,0.0006553607527166605,13.245463527513325,3,13.245463527513325,900,13.245463527513323,13.245463527513323,33.1222071174206,184.985992144153,7.804571148181754,50,0.0,0.0,33.1222071174206,0.0,3600000,0.00643910700455308,4.5729828746138725,-0.00266622519120574,184.985992144153,12.63696542691739,0.0,2.6873623597925267,50,2.6873623597925267,12.63696542691739,3,3
0.0,7.723468429595158,0.0,0.0,4.738375546816569,1.8221483920998407,6.021373650399701,0.0,1.8221483920998407,900,-0.0006803750293329358,0.0,5.59602165222168,4,4,7.723468429595158,0.0007204990833997726,12.063325870705874,4,12.063325870705874,900,12.06332587070587,12.06332587070587,25.15349360009162,62.70125468800861,6.021373650399701,50,0.0,0.0,25.15349360009162,0.0,4500000,0.006487737409770489,4.738375546816569,-0.0014008741127327085,62.70125468800861,13.94061102540535,0.0,2.4385718370311364,50,2.4385718370311364,13.94061102540535,4,4
0.0,7.779219436870529,0.0,0.0,4.765948331335102,1.768737997473033,8.000706772362637,0.0,1.768737997473033,900,-0.0007909639971330762,0.0,5.587425231933594,5,5,7.779219436870529,2.6911671739071608e-05,15.061242912886867,5,15.061242912886867,900,15.061242912886861,15.061242912886861,33.58231424960346,53.22483923253972,8.000706772362637,50,0.0,0.0,33.58231424960346,0.0,5400000,0.004085537511855364,4.765948331335102,-0.0008178756688721478,53.22483923253972,13.709609055315713,0.0,3.580069989507124,50,3.580069989507124,13.709609055315713,5,5
0.0,7.911215221501071,0.0,0.0,4.8178017890036156,1.7443700540890863,8.778336709931118,0.0,1.7443700540890863,900,-0.0013844206696376204,0.0,5.561917781829834,6,6,7.911215221501071,0.0007025442318990827,14.192393738838327,6,14.192393738838327,900,14.192393738838323,14.192393738838323,35.50465797409616,55.62115998328897,8.778336709931118,50,0.0,0.0,35.50465797409616,0.0,6300000,0.006591347511857748,4.8178017890036156,-0.002086964901536703,55.62115998328897,14.975871145159784,0.0,2.277941587416579,50,2.277941587416579,14.975871145159784,6,6
0.0,8.506867744676464,0.0,0.0,4.859050416068753,1.9989079369847274,8.531303428925021,0.0,1.9989079369847274,900,-0.0006878619315102696,0.0,5.55405330657959,7,7,8.506867744676464,5.473464261740446e-05,16.298122980924546,7,16.298122980924546,900,16.298122980924546,16.298122980924546,32.69231175856578,67.13532825946905,8.531303428925021,50,0.0,0.0,32.69231175856578,0.0,7200000,0.006410234607756138,4.859050416068753,-0.0007425965741276741,67.13532825946905,15.232465298722369,0.0,2.068459919054557,50,2.068459919054557,15.232465298722369,7,7
0.0,8.832059906655735,0.0,0.0,5.1715859467239,2.297128714020834,7.424078163563085,0.0,2.297128714020834,900,0.0008125473977997899,0.0,5.568739891052246,8,8,8.832059906655735,0.0005217199795879424,14.921434021675385,8,14.921434021675385,900,14.921434021675385,14.921434021675385,30.8291787122404,106.17986812252374,7.424078163563085,50,0.0,0.0,30.8291787122404,0.0,8100000,0.006558114197105169,5.1715859467239,0.00029082741821184754,106.17986812252374,16.848232480720743,0.0,3.001541628633726,50,3.001541628633726,16.848232480720743,8,8
0.0,8.420018280004395,0.0,0.0,5.11534753352473,2.0406824154653775,9.104349818196024,0.0,2.0406824154653775,900,0.0006401425343938172,0.0,5.575116157531738,9,9,8.420018280004395,0.00010822503827512264,18.745923044943215,9,18.745923044943215,900,18.74592304494322,18.74592304494322,39.70449014224157,60.157638617666464,9.104349818196024,50,0.0,0.0,39.70449014224157,0.0,9000000,0.0026206455659121275,5.11534753352473,0.0005319174961186945,60.157638617666464,16.37505458068992,0.0,3.7180394566376926,50,3.7180394566376926,16.37505458068992,9,9
