MetaTest/basketball-v2/StdReturn,GaussianMLPPolicy/dLoss,Iteration,GaussianMLPPolicy/LossBefore,basketball-v2/NumEpisodes,Average/MaxReturn,MetaTest/basketball-v2/TerminationRate,MetaTest/Average/MinReturn,Average/Iteration,basketball-v2/MaxReturn,MetaTest/basketball-v2/AverageDiscountedReturn,MetaTest/Average/Iteration,basketball-v2/StdReturn,basketball-v2/AverageDiscountedReturn,GaussianMLPPolicy/LossAfter,Average/SuccessRate,basketball-v2/Iteration,Average/NumEpisodes,MetaTest/basketball-v2/MaxReturn,MetaTest/Average/AverageDiscountedReturn,Average/AverageDiscountedReturn,Average/StdReturn,MetaTest/Average/SuccessRate,GaussianMLPPolicy/Entropy,GaussianMLPPolicy/KLBefore,basketball-v2/SuccessRate,MetaTest/Average/StdReturn,MetaTest/basketball-v2/NumEpisodes,MetaTest/basketball-v2/Iteration,MetaTest/Average/TerminationRate,MetaTest/Average/NumEpisodes,GaussianMLPPolicy/KLAfter,Average/MinReturn,MetaTest/Average/AverageReturn,basketball-v2/AverageReturn,basketball-v2/TerminationRate,MetaTest/basketball-v2/SuccessRate,Average/TerminationRate,MetaTest/Average/MaxReturn,Average/AverageReturn,TotalEnvSteps,MetaTest/basketball-v2/MinReturn,MetaTest/basketball-v2/AverageReturn,basketball-v2/MinReturn
9.187543371683216,0.002361006336286664,0,0.002443339442834258,200,83.6963492305889,0.0,1.695161800951115,0,83.6963492305889,7.536096127286358,0,8.233308495865154,5.225763008272434,8.233310654759407e-05,0.0,0,200,34.55508114311362,7.536096127286358,5.225763008272434,8.233308495865154,0.0,5.706489562988281,0.0,0.0,9.187543371683216,10,0,0.0,10,0.009733202867209911,0.5020090568237853,7.536096127286354,6.103333898554115,0.0,0.0,0.0,34.55508114311362,6.103333898554115,200000,1.695161800951115,7.536096127286354,0.5020090568237853
7.086653120496701,0.0011080970871262252,1,-0.0006293602637015283,200,71.79210802189598,0.0,0.5970863926108815,1,71.79210802189598,7.726044462472245,1,8.083927572981608,7.266546265365251,-0.0017374573508277535,0.0,1,200,27.048337110771744,7.726044462472245,7.266546265365251,8.083927572981608,0.0,5.69919490814209,0.0,0.0,7.086653120496701,10,1,0.0,10,0.006425569765269756,0.8352573130552611,7.726044462472243,8.484275096004172,0.0,0.0,0.0,27.048337110771744,8.484275096004172,400000,0.5970863926108815,7.726044462472243,0.8352573130552611
8.799673321217954,0.00037591089494526386,2,0.001960685010999441,200,161.06772851677448,0.0,3.8054161840876346,2,161.06772851677448,13.416484554345882,2,13.960315516900367,8.624057107742415,0.0015847741160541773,0.0,2,200,35.45452594597011,13.416484554345882,8.624057107742415,13.960315516900367,0.0,5.723094463348389,0.0,0.0,8.799673321217954,10,2,0.0,10,0.006498661823570728,0.46333689897418984,13.416484554345882,10.015077629213357,0.0,0.0,0.0,35.45452594597011,10.015077629213357,600000,3.8054161840876346,13.416484554345882,0.46333689897418984
3.8754112758907198,0.00025455665308982134,3,0.001584603451192379,200,53.065513482693895,0.0,5.609030008730901,3,53.065513482693895,12.420953893984581,3,7.2884906694879525,9.091184894362584,0.0013300467981025577,0.0,3,200,17.342023741669866,12.420953893984581,9.091184894362584,7.2884906694879525,0.0,5.764250755310059,0.0,0.0,3.8754112758907198,10,3,0.0,10,0.009951714426279068,1.0460767534766684,12.420953893984583,10.554284780099119,0.0,0.0,0.0,17.342023741669866,10.554284780099119,800000,5.609030008730901,12.420953893984583,1.0460767534766684
5.208036532994552,0.0012608508113771677,4,-0.0015392547938972712,200,42.23029575185166,0.0,4.426004133927354,4,42.23029575185166,12.188288671084235,4,7.018514300265118,10.941816332644942,-0.002800105605274439,0.0,4,200,20.48273650732602,12.188288671084235,10.941816332644942,7.018514300265118,0.0,5.725466728210449,0.0,0.0,5.208036532994552,10,4,0.0,10,0.0099814273416996,2.766588105107194,12.188288671084234,12.706632405907424,0.0,0.0,0.0,20.48273650732602,12.706632405907424,1000000,4.426004133927354,12.188288671084234,2.766588105107194
5.232991179726451,0.0007918500923551619,5,0.0006979612517170608,200,75.31443106174346,0.0,6.178190790897659,5,75.31443106174346,12.228429351901655,5,7.835325446878238,11.052287834477506,-9.38888406381011e-05,0.0,5,200,21.478379229817207,12.228429351901655,11.052287834477506,7.835325446878238,0.0,5.741534233093262,0.0,0.0,5.232991179726451,10,5,0.0,10,0.006508619990199804,3.0978499923847886,12.228429351901651,12.988051711921408,0.0,0.0,0.0,21.478379229817207,12.988051711921408,1200000,6.178190790897659,12.228429351901651,3.0978499923847886
3.0646545693230376,0.0005037686787545681,6,-0.0002773841260932386,200,120.03512232406037,0.0,4.2862560265829925,6,120.03512232406037,10.008885819911354,6,10.387549705298833,11.826099724741148,-0.0007811528048478067,0.0,6,200,14.553271693743152,10.008885819911354,11.826099724741148,10.387549705298833,0.0,5.736120700836182,0.0,0.0,3.0646545693230376,10,6,0.0,10,0.009837021119892597,2.01425853564891,10.00888581991136,13.966809726988599,0.0,0.0,0.0,14.553271693743152,13.966809726988599,1400000,4.2862560265829925,10.00888581991136,2.01425853564891
4.896238847856168,0.0007280260033439845,7,0.00026049144798889756,200,117.19876583401658,0.0,3.2494186687292035,7,117.19876583401658,11.200195695002455,7,9.847758821856734,11.263635591983443,-0.0004675345553550869,0.0,7,200,18.22324031058063,11.200195695002455,11.263635591983443,9.847758821856734,0.0,5.740769386291504,0.0,0.0,4.896238847856168,10,7,0.0,10,0.006474683992564678,2.7498761161692062,11.200195695002447,13.393862514480888,0.0,0.0,0.0,18.22324031058063,13.393862514480888,1600000,3.2494186687292035,11.200195695002447,2.7498761161692062
10.673397093384835,0.0007039637639536522,8,0.00065496691968292,200,68.67576714637903,0.0,6.7272893305861885,8,68.67576714637903,18.937604764559314,8,7.676862234127286,11.419281074081333,-4.8996844270732254e-05,0.0,8,200,42.664064225257526,18.937604764559314,11.419281074081333,7.676862234127286,0.0,5.7613420486450195,0.0,0.0,10.673397093384835,10,8,0.0,10,0.009992752224206924,3.6013796331995733,18.937604764559318,13.690910915396739,0.0,0.0,0.0,42.664064225257526,13.690910915396739,1800000,6.7272893305861885,18.937604764559318,3.6013796331995733
9.26851763632555,0.0005075212102383375,9,-0.0017632332164794207,200,41.72573358957838,0.0,7.75164629335605,9,41.72573358957838,16.644674177790137,9,7.60210600521814,12.8159701897558,-0.002270754426717758,0.0,9,200,38.402015937688994,16.644674177790137,12.8159701897558,7.60210600521814,0.0,5.719351768493652,0.0,0.0,9.26851763632555,10,9,0.0,10,0.006732719484716654,3.0190316995478894,16.64467417779014,15.323051083645423,0.0,0.0,0.0,38.402015937688994,15.323051083645423,2000000,7.75164629335605,16.64467417779014,3.0190316995478894
