basketball-v2/Iteration,Average/AverageDiscountedReturn,GaussianMLPPolicy/dLoss,GaussianMLPPolicy/KLAfter,basketball-v2/TerminationRate,GaussianMLPPolicy/Entropy,basketball-v2/AverageReturn,MetaTest/basketball-v2/AverageReturn,MetaTest/basketball-v2/TerminationRate,MetaTest/Average/SuccessRate,Average/TerminationRate,basketball-v2/AverageDiscountedReturn,MetaTest/Average/AverageReturn,Average/MinReturn,Average/StdReturn,MetaTest/basketball-v2/AverageDiscountedReturn,basketball-v2/StdReturn,GaussianMLPPolicy/KLBefore,basketball-v2/MaxReturn,Average/NumEpisodes,MetaTest/basketball-v2/SuccessRate,basketball-v2/SuccessRate,GaussianMLPPolicy/LossAfter,MetaTest/Average/NumEpisodes,Iteration,MetaTest/Average/Iteration,MetaTest/basketball-v2/Iteration,MetaTest/Average/StdReturn,MetaTest/Average/TerminationRate,basketball-v2/MinReturn,Average/MaxReturn,MetaTest/basketball-v2/NumEpisodes,Average/AverageReturn,MetaTest/Average/AverageDiscountedReturn,MetaTest/Average/MinReturn,TotalEnvSteps,basketball-v2/NumEpisodes,GaussianMLPPolicy/LossBefore,MetaTest/basketball-v2/StdReturn,Average/SuccessRate,Average/Iteration,MetaTest/basketball-v2/MaxReturn,MetaTest/Average/MaxReturn,MetaTest/basketball-v2/MinReturn
10,5.153722658767159,0.0011353639420121908,0.009780638851225376,0.0,5.6127848625183105,18.55991458550017,16.300275504514044,0.0,0.0,0.0,5.153722658767159,16.300275504514044,3.192991356510097,9.228034208655101,16.300275504514044,9.228034208655101,0.0,64.13491415835045,200,0.0,0.0,-0.00046938558807596564,50,10,10,10,8.483867088506958,0.0,3.192991356510097,64.13491415835045,50,18.55991458550017,16.300275504514044,4.877577453974137,2200000,200,0.0006659783539362252,8.483867088506958,0.0,10,39.07998735951102,39.07998735951102,4.877577453974137
11,4.775982430100548,0.0010079255589516833,0.0064404853619635105,0.0,5.627385139465332,17.604367360892706,17.105409874996667,0.0,0.0,0.0,4.775982430100548,17.105409874996667,2.746983037212953,9.748795800378259,17.105409874996663,9.748795800378259,0.0,75.58755381880363,200,0.0,0.0,0.00016019916802179068,50,11,11,11,7.047213410980729,0.0,2.746983037212953,75.58755381880363,50,17.604367360892706,17.105409874996663,5.772120621032441,2400000,200,0.001168124726973474,7.047213410980729,0.0,11,39.3201278278433,39.3201278278433,5.772120621032441
12,4.687981582001123,0.0010990890878019854,0.006550922989845276,0.0,5.636413097381592,17.22827664655097,18.507026131375774,0.0,0.0,0.0,4.687981582001123,18.507026131375774,3.4611586341992373,8.268316141312386,18.507026131375778,8.268316141312386,0.0,73.19893852439654,200,0.0,0.0,8.723950304556638e-05,50,12,12,12,8.053834972957993,0.0,3.4611586341992373,73.19893852439654,50,17.22827664655097,18.507026131375778,4.932785037239843,2600000,200,0.0011863285908475518,8.053834972957993,0.0,12,37.1787588281499,37.1787588281499,4.932785037239843
13,4.8189295207416984,0.0011095876106992364,0.009976481087505817,0.0,5.630305767059326,17.812643722583783,15.912534811990803,0.0,0.0,0.0,4.8189295207416984,15.912534811990803,4.147986091663981,7.893535912322531,15.912534811990803,7.893535912322531,0.0,56.960559400389165,200,0.0,0.0,-0.0016325057949870825,50,13,13,13,9.148844737563811,0.0,4.147986091663981,56.960559400389165,50,17.812643722583783,15.912534811990803,3.3481037386285575,2800000,200,-0.0005229181842878461,9.148844737563811,0.0,13,38.05830261636103,38.05830261636103,3.3481037386285575
14,5.000771402440523,0.0016266156453639269,0.006698428187519312,0.0,5.595335483551025,18.851282249977167,19.82006742984704,0.0,0.0,0.0,5.000771402440523,19.82006742984704,3.4175664017873584,9.000834783505443,19.82006742984704,9.000834783505443,0.0,73.0208301418572,200,0.0,0.0,-0.005211221054196358,50,14,14,14,9.061587619802914,0.0,3.4175664017873584,73.0208301418572,50,18.851282249977167,19.82006742984704,4.320916366025548,3000000,200,-0.003584605408832431,9.061587619802914,0.0,14,37.670982129419194,37.670982129419194,4.320916366025548
15,5.503709525226095,0.00116213423825684,0.006461658980697393,0.0,5.57955265045166,20.196368384431263,21.322688203864413,0.0,0.0,0.0,5.503709525226095,21.322688203864413,3.3870913207616593,9.6772959291916,21.322688203864416,9.6772959291916,0.0,75.63029296606265,200,0.0,0.0,-0.0011208450887352228,50,15,15,15,8.41474722305562,0.0,3.3870913207616593,75.63029296606265,50,20.196368384431263,21.322688203864416,5.275269741402651,3200000,200,4.128914952161722e-05,8.41474722305562,0.0,15,44.37461824782795,44.37461824782795,5.275269741402651
16,5.44872457454287,0.0013808015210088342,0.006718395743519068,0.0,5.574236869812012,21.05386190887761,21.139197891359398,0.0,0.0,0.0,5.44872457454287,21.139197891359398,2.9211434156050964,11.413666916062443,21.139197891359398,11.413666916062443,0.0,81.89950501945259,200,0.0,0.0,-0.0010929780546575785,50,16,16,16,11.348393306554513,0.0,2.9211434156050964,81.89950501945259,50,21.05386190887761,21.139197891359398,4.287435772683118,3400000,200,0.0002878234663512558,11.348393306554513,0.0,16,70.2841581745598,70.2841581745598,4.287435772683118
17,5.168619549898973,0.0009160146582871675,0.006583095528185368,0.0,5.521395683288574,18.9516984577888,22.577635100903475,0.0,0.0,0.0,5.168619549898973,22.577635100903475,2.7787254662717547,9.78430942416604,22.577635100903482,9.78430942416604,0.0,60.55711663633859,200,0.0,0.0,-0.004762080032378435,50,17,17,17,13.247319154542513,0.0,2.7787254662717547,60.55711663633859,50,18.9516984577888,22.577635100903482,3.1542274627823814,3600000,200,-0.0038460653740912676,13.247319154542513,0.0,17,63.354520783093626,63.354520783093626,3.1542274627823814
18,5.6090166456085395,0.0018298228969797492,0.009806208312511444,0.0,5.518555641174316,21.004399554389366,19.432395800441633,0.0,0.0,0.0,5.6090166456085395,19.432395800441633,2.7333212873552446,9.168913953874908,19.43239580044163,9.168913953874908,0.0,68.7240532660406,200,0.0,0.0,-0.002607115777209401,50,18,18,18,10.253333512069329,0.0,2.7333212873552446,68.7240532660406,50,21.004399554389366,19.43239580044163,3.3202464210382048,3800000,200,-0.0007772928802296519,10.253333512069329,0.0,18,55.59059994147708,55.59059994147708,3.3202464210382048
19,5.621210623674722,0.002062286133877933,0.009890789166092873,0.0,5.553925037384033,21.69123023559442,19.454036800778873,0.0,0.0,0.0,5.621210623674722,19.454036800778873,2.718104152830606,11.005722213823788,19.45403680077888,11.005722213823788,0.0,60.639143723227484,200,0.0,0.0,0.0006025427719578147,50,19,19,19,10.364264442673068,0.0,2.718104152830606,60.639143723227484,50,21.69123023559442,19.45403680077888,3.6546347544902016,4000000,200,0.0026648289058357477,10.364264442673068,0.0,19,53.55296112774831,53.55296112774831,3.6546347544902016
