MetaTest/Average/MaxReturn,MetaTest/basketball-v2/StdReturn,MetaTest/Average/TerminationRate,MetaTest/basketball-v2/NumEpisodes,MetaTest/basketball-v2/MinReturn,MetaTest/basketball-v2/Iteration,TotalEnvSteps,MetaTest/basketball-v2/TerminationRate,MetaTest/Average/MinReturn,MetaTest/Average/StdReturn,MetaTest/Average/Iteration,MetaTest/Average/SuccessRate,MetaTest/basketball-v2/SuccessRate,MetaTest/basketball-v2/MaxReturn,MetaTest/Average/NumEpisodes,MetaTest/basketball-v2/AverageDiscountedReturn,MetaTest/Average/AverageDiscountedReturn,MetaTest/Average/AverageReturn,MetaTest/basketball-v2/AverageReturn
1.4128501176333876,0.12747634332340746,0.0,10,1.0299982787993052,0,300000,0.0,1.0299982787993052,0.12747634332340746,0,0.0,0.0,1.4128501176333876,10,1.214039224011215,1.214039224011215,1.214039224011215,1.214039224011215
52.9186114812697,14.578784538084344,0.0,10,1.5550758376781244,1,375000,0.0,1.5550758376781244,14.578784538084344,1,0.0,0.0,52.9186114812697,10,11.801401492083635,11.801401492083635,11.80140149208363,11.80140149208363
9.005880331911385,1.994393665045472,0.0,10,1.9736370312083076,2,450000,0.0,1.9736370312083076,1.994393665045472,2,0.0,0.0,9.005880331911385,10,3.1045891465019464,3.1045891465019464,3.1045891465019464,3.1045891465019464
5.145891296155752,1.050779795270359,0.0,10,1.0388530586855491,3,525000,0.0,1.0388530586855491,1.050779795270359,3,0.0,0.0,5.145891296155752,10,2.84857880289766,2.84857880289766,2.8485788028976566,2.8485788028976566
8.252551508964693,1.260989137521538,0.0,10,3.602924636325842,4,600000,0.0,3.602924636325842,1.260989137521538,4,0.0,0.0,8.252551508964693,10,5.479329256295841,5.479329256295841,5.479329256295839,5.479329256295839
19.454072432949815,5.673188823660552,0.0,10,1.5940570174481148,5,675000,0.0,1.5940570174481148,5.673188823660552,5,0.0,0.0,19.454072432949815,10,12.557800950706307,12.557800950706307,12.557800950706307,12.557800950706307
18.562853338859394,2.016688481077622,0.0,10,12.044571722796944,6,750000,0.0,12.044571722796944,2.016688481077622,6,0.0,0.0,18.562853338859394,10,14.22638231189578,14.22638231189578,14.226382311895785,14.226382311895785
87.34000827232643,23.488756432621503,0.0,10,4.060981367784163,7,825000,0.0,4.060981367784163,23.488756432621503,7,0.0,0.0,87.34000827232643,10,19.224196049267732,19.224196049267732,19.224196049267725,19.224196049267725
33.280186572582,8.614135099389605,0.0,10,2.8499496205846158,8,900000,0.0,2.8499496205846158,8.614135099389605,8,0.0,0.0,33.280186572582,10,8.691410929308697,8.691410929308697,8.691410929308692,8.691410929308692
28.782369852836187,7.375887762107749,0.0,10,2.4832617315377497,9,975000,0.0,2.4832617315377497,7.375887762107749,9,0.0,0.0,28.782369852836187,10,8.310625741330137,8.310625741330137,8.310625741330133,8.310625741330133
15.199185753530324,4.290936741250831,0.0,10,2.2244858734127417,10,1050000,0.0,2.2244858734127417,4.290936741250831,10,0.0,0.0,15.199185753530324,10,6.1069744583129255,6.1069744583129255,6.106974458312928,6.106974458312928
15.83280575281343,4.161707019735968,0.0,10,1.762511776892372,11,1125000,0.0,1.762511776892372,4.161707019735968,11,0.0,0.0,15.83280575281343,10,6.771087193494125,6.771087193494125,6.77108719349412,6.77108719349412
22.277846957449835,5.9274556599002866,0.0,10,3.885149143249191,12,1200000,0.0,3.885149143249191,5.9274556599002866,12,0.0,0.0,22.277846957449835,10,10.110329299514195,10.110329299514195,10.110329299514195,10.110329299514195
59.95187219787778,15.532282534629427,0.0,10,4.174289901906144,13,1275000,0.0,4.174289901906144,15.532282534629427,13,0.0,0.0,59.95187219787778,10,14.674159376329154,14.674159376329154,14.674159376329149,14.674159376329149
19.960139060463007,5.053060946097618,0.0,10,5.673698259672411,14,1350000,0.0,5.673698259672411,5.053060946097618,14,0.0,0.0,19.960139060463007,10,13.724122796827007,13.724122796827007,13.724122796827007,13.724122796827007
22.540515428842433,5.6571513865569,0.0,10,3.6390988337402086,15,1425000,0.0,3.6390988337402086,5.6571513865569,15,0.0,0.0,22.540515428842433,10,12.491316041655004,12.491316041655004,12.491316041655004,12.491316041655004
20.848375572724734,5.309037673447081,0.0,10,3.0997892383061045,16,1500000,0.0,3.0997892383061045,5.309037673447081,16,0.0,0.0,20.848375572724734,10,10.1725843612919,10.1725843612919,10.1725843612919,10.1725843612919
11.702994494973359,2.702637255848513,0.0,10,2.496993688673197,17,1575000,0.0,2.496993688673197,2.702637255848513,17,0.0,0.0,11.702994494973359,10,5.643099974939636,5.643099974939636,5.643099974939636,5.643099974939636
40.80777051730337,11.394493822472855,0.0,10,5.641896113664898,18,1650000,0.0,5.641896113664898,11.394493822472855,18,0.0,0.0,40.80777051730337,10,16.829289469695958,16.829289469695958,16.82928946969596,16.82928946969596
22.8497965995228,5.371599894446998,0.0,10,3.4642522150126385,19,1725000,0.0,3.4642522150126385,5.371599894446998,19,0.0,0.0,22.8497965995228,10,8.474681059415051,8.474681059415051,8.474681059415056,8.474681059415056
15.45038470742706,3.792863654055964,0.0,10,2.8515688207568957,20,1800000,0.0,2.8515688207568957,3.792863654055964,20,0.0,0.0,15.45038470742706,10,8.395891314396035,8.395891314396035,8.395891314396035,8.395891314396035
53.139191267472704,14.260650267932284,0.0,10,2.78495325805796,21,1875000,0.0,2.78495325805796,14.260650267932284,21,0.0,0.0,53.139191267472704,10,11.028144119063642,11.028144119063642,11.02814411906364,11.02814411906364
