MetaTest/Average/AverageDiscountedReturn,MetaTest/basketball-v2/MinReturn,TotalEnvSteps,MetaTest/Average/SuccessRate,MetaTest/basketball-v2/SuccessRate,MetaTest/basketball-v2/NumEpisodes,MetaTest/basketball-v2/Iteration,MetaTest/Average/MaxReturn,MetaTest/basketball-v2/TerminationRate,MetaTest/basketball-v2/AverageReturn,MetaTest/Average/AverageReturn,MetaTest/basketball-v2/MaxReturn,MetaTest/Average/NumEpisodes,MetaTest/Average/StdReturn,MetaTest/basketball-v2/StdReturn,MetaTest/basketball-v2/AverageDiscountedReturn,MetaTest/Average/Iteration,MetaTest/Average/TerminationRate,MetaTest/Average/MinReturn
5.366407736104341,3.2850942258880367,300000,0.0,0.0,10,0,7.807758805325635,0.0,5.366407736104344,5.366407736104344,7.807758805325635,10,1.4798456512679978,1.4798456512679978,5.366407736104341,0,0.0,3.2850942258880367
3.656822502564151,2.020968883319672,375000,0.0,0.0,10,1,10.303022509254378,0.0,3.6568225025641525,3.6568225025641525,10.303022509254378,10,2.6740431600277375,2.6740431600277375,3.656822502564151,1,0.0,2.020968883319672
3.915853473213667,1.3104239296736409,450000,0.0,0.0,10,2,10.358162786890261,0.0,3.915853473213667,3.915853473213667,10.358162786890261,10,2.782680324779111,2.782680324779111,3.915853473213667,2,0.0,1.3104239296736409
2.8285863649167724,2.0102508972988624,525000,0.0,0.0,10,3,3.9448179408309842,0.0,2.828586364916773,2.828586364916773,3.9448179408309842,10,0.5817847203883075,0.5817847203883075,2.8285863649167724,3,0.0,2.0102508972988624
5.325070625654261,1.446809022571551,600000,0.0,0.0,10,4,15.065428118994419,0.0,5.325070625654263,5.325070625654263,15.065428118994419,10,4.108162882900364,4.108162882900364,5.325070625654261,4,0.0,1.446809022571551
9.267162217602976,1.56722149290112,675000,0.0,0.0,10,5,15.412367146443074,0.0,9.267162217602976,9.267162217602976,15.412367146443074,10,4.857760413227884,4.857760413227884,9.267162217602976,5,0.0,1.56722149290112
11.223063855704503,4.907641582608122,750000,0.0,0.0,10,6,20.533116150671137,0.0,11.223063855704504,11.223063855704504,20.533116150671137,10,5.883042470101936,5.883042470101936,11.223063855704503,6,0.0,4.907641582608122
6.554774353045966,3.0704146670162955,825000,0.0,0.0,10,7,14.725527643825306,0.0,6.554774353045966,6.554774353045966,14.725527643825306,10,3.455554084313185,3.455554084313185,6.554774353045966,7,0.0,3.0704146670162955
8.092041774866484,4.768330824138327,900000,0.0,0.0,10,8,9.424560439057432,0.0,8.09204177486649,8.09204177486649,9.424560439057432,10,1.3087858358772024,1.3087858358772024,8.092041774866484,8,0.0,4.768330824138327
8.501700499345285,3.2414301389834677,975000,0.0,0.0,10,9,32.995511967116165,0.0,8.501700499345285,8.501700499345285,32.995511967116165,10,8.486784273345702,8.486784273345702,8.501700499345285,9,0.0,3.2414301389834677
11.694447440383598,2.2304769453822675,1050000,0.0,0.0,10,10,38.79040938515913,0.0,11.694447440383609,11.694447440383609,38.79040938515913,10,10.31496015637881,10.31496015637881,11.694447440383598,10,0.0,2.2304769453822675
10.589212424423357,2.1044781070602943,1125000,0.0,0.0,10,11,21.145557139486073,0.0,10.589212424423359,10.589212424423359,21.145557139486073,10,6.8780233363755325,6.8780233363755325,10.589212424423357,11,0.0,2.1044781070602943
8.463009430345256,1.6823863748021501,1200000,0.0,0.0,10,12,19.60375015669375,0.0,8.463009430345256,8.463009430345256,19.60375015669375,10,5.248464368552295,5.248464368552295,8.463009430345256,12,0.0,1.6823863748021501
5.7614899951694,2.5451974180890824,1275000,0.0,0.0,10,13,11.009761828297432,0.0,5.761489995169401,5.761489995169401,11.009761828297432,10,2.592479242183841,2.592479242183841,5.7614899951694,13,0.0,2.5451974180890824
11.201495523418535,1.8852427243476673,1350000,0.0,0.0,10,14,26.16226400336095,0.0,11.20149552341854,11.20149552341854,26.16226400336095,10,7.431904904657943,7.431904904657943,11.201495523418535,14,0.0,1.8852427243476673
8.020130009897041,2.6639166568679222,1425000,0.0,0.0,10,15,18.515049277246455,0.0,8.02013000989704,8.02013000989704,18.515049277246455,10,4.508256997856098,4.508256997856098,8.020130009897041,15,0.0,2.6639166568679222
6.660300284812038,2.909727723944035,1500000,0.0,0.0,10,16,13.477014433120054,0.0,6.66030028481204,6.66030028481204,13.477014433120054,10,2.61103916765088,2.61103916765088,6.660300284812038,16,0.0,2.909727723944035
12.961932700081537,6.159332850972051,1575000,0.0,0.0,10,17,23.580451704077454,0.0,12.961932700081537,12.961932700081537,23.580451704077454,10,5.843827335908086,5.843827335908086,12.961932700081537,17,0.0,6.159332850972051
8.739075117671714,2.3776646603017366,1650000,0.0,0.0,10,18,20.635285942772747,0.0,8.739075117671716,8.739075117671716,20.635285942772747,10,6.287514742067666,6.287514742067666,8.739075117671714,18,0.0,2.3776646603017366
96.91844570706449,2.6444180525839487,1725000,0.0,0.0,10,19,868.2961116402186,0.0,96.91844570706444,96.91844570706444,868.2961116402186,10,257.22192655040305,257.22192655040305,96.91844570706449,19,0.0,2.6444180525839487
5.078079860539328,1.5998495029047464,1800000,0.0,0.0,10,20,18.014210837139217,0.0,5.078079860539331,5.078079860539331,18.014210837139217,10,4.921834736728668,4.921834736728668,5.078079860539328,20,0.0,1.5998495029047464
82.9602466019209,1.7054811577134306,1875000,0.0,0.0,10,21,760.0322639499522,0.0,82.96024660192096,82.96024660192096,760.0322639499522,10,225.7493428627807,225.7493428627807,82.9602466019209,21,0.0,1.7054811577134306
