MetaTest/door-unlock-v2/MaxReturn,MetaTest/Average/MinReturn,MetaTest/box-close-v2/MaxReturn,MetaTest/door-unlock-v2/SuccessRate,MetaTest/box-close-v2/MinReturn,MetaTest/hand-insert-v2/AverageReturn,MetaTest/Average/AverageReturn,MetaTest/door-unlock-v2/NumEpisodes,MetaTest/Average/MaxReturn,MetaTest/door-lock-v2/TerminationRate,MetaTest/box-close-v2/AverageDiscountedReturn,MetaTest/hand-insert-v2/NumEpisodes,MetaTest/door-lock-v2/StdReturn,MetaTest/box-close-v2/TerminationRate,MetaTest/Average/AverageDiscountedReturn,MetaTest/Average/StdReturn,MetaTest/box-close-v2/Iteration,MetaTest/bin-picking-v2/MinReturn,MetaTest/box-close-v2/StdReturn,MetaTest/box-close-v2/SuccessRate,MetaTest/door-lock-v2/MaxReturn,TotalEnvSteps,MetaTest/door-lock-v2/AverageReturn,MetaTest/bin-picking-v2/TerminationRate,MetaTest/Average/TerminationRate,MetaTest/door-unlock-v2/AverageReturn,MetaTest/bin-picking-v2/Iteration,MetaTest/Average/SuccessRate,MetaTest/hand-insert-v2/AverageDiscountedReturn,MetaTest/Average/NumEpisodes,MetaTest/Average/Iteration,MetaTest/box-close-v2/NumEpisodes,MetaTest/bin-picking-v2/MaxReturn,MetaTest/door-unlock-v2/MinReturn,MetaTest/hand-insert-v2/TerminationRate,MetaTest/hand-insert-v2/MinReturn,MetaTest/door-lock-v2/Iteration,MetaTest/hand-insert-v2/MaxReturn,MetaTest/bin-picking-v2/AverageReturn,MetaTest/door-unlock-v2/TerminationRate,MetaTest/door-lock-v2/SuccessRate,MetaTest/door-unlock-v2/StdReturn,MetaTest/hand-insert-v2/SuccessRate,MetaTest/door-lock-v2/NumEpisodes,MetaTest/box-close-v2/AverageReturn,MetaTest/hand-insert-v2/Iteration,MetaTest/bin-picking-v2/NumEpisodes,MetaTest/door-unlock-v2/Iteration,MetaTest/hand-insert-v2/StdReturn,MetaTest/door-unlock-v2/AverageDiscountedReturn,MetaTest/bin-picking-v2/AverageDiscountedReturn,MetaTest/bin-picking-v2/SuccessRate,MetaTest/bin-picking-v2/StdReturn,MetaTest/door-lock-v2/AverageDiscountedReturn,MetaTest/door-lock-v2/MinReturn
,,,,,,,,,,,,,,,,,,,,,6075000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,6412500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,6750000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,7087500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,7425000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,7762500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,8100000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,8437500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,8775000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,9112500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,9450000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3506.6255783723814,2.7395958730880396,425.8669713462187,0.08,4.2186052357903465,12.491076933820487,501.5566412606693,50,3926.3941596142963,0.0,310.12911192486166,50,1360.5017515947154,0.0,501.5566412606694,871.2064821748041,1,2.7395958730880396,85.29131718111971,0.0,3926.3941596142963,9787500,1477.7803784064358,0.0,0.0,703.1060645957679,1,0.06,12.491076933820489,250,1,50,7.5362545531739915,283.013337729235,0.0,4.574520781000094,1,127.98686281079164,4.276574442460757,0.0,0.2,647.8617426723233,0.02,50,310.1291119248617,1,50,1,16.92004733338859,703.1060645957679,4.276574442460757,0.0,0.9366705898334835,1477.780378406436,463.22690762456057
,,,,,,,,,,,,,,,,,,,,,10125000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,10462500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,10800000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,11137500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,11475000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,11812500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,12150000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,12487500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,12825000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,13162500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,13500000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,13837500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,14175000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,14512500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,14850000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,15187500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,15525000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,15862500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,16200000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,16537500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,16875000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,17212500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,17550000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,17887500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3773.1052615640006,2.467301164448635,432.6988940493807,0.28,4.1946609145279234,25.963482284690897,685.3769479844735,50,3883.0047730493775,0.0,269.22701529959556,50,1272.6805078266596,0.0,685.3769479844735,1078.6907072583674,2,2.467301164448635,68.39870953411932,0.0,3883.0047730493775,18225000,1815.428026210757,0.0,0.0,1312.1068423109662,2,0.12,25.963482284690897,250,2,50,6.503972947098383,268.7120272088693,0.0,3.46577436603147,2,545.2860214984556,4.159373816357954,0.0,0.32,1202.0800919978458,0.0,50,269.2270152995956,2,50,2,81.27998835362881,1312.1068423109664,4.159373816357955,0.0,1.048168599793203,1815.428026210757,466.3065915382958
,,,,,,,,,,,,,,,,,,,,,18562500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,18900000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,19237500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,19575000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,19912500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,20250000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,20587500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,20925000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,21262500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,21600000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,21937500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,22275000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,22612500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,22950000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,23287500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,23625000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,23962500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,24300000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,24637500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,24975000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,25312500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,25650000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,25987500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,26325000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3857.845673434797,2.231944488932723,443.6415185121978,0.58,4.222250958369382,42.795214251680356,735.7510811606325,50,3857.845673434797,0.0,255.34641759227037,50,1220.5937704256605,0.0,735.7510811606325,1124.5607492290164,3,2.329970145653527,70.26859892239409,0.0,3767.1816437565362,26662500,1399.2691207420517,0.0,0.0,1968.4088323225244,3,0.176,42.79521425168034,250,3,50,61.78168853559122,361.80005354847157,0.0,2.231944488932723,3,480.97464972072856,12.935820894635844,0.0,0.24,1274.9836765347434,0.06,50,255.34641759227034,3,50,3,97.31681243421275,1968.4088323225244,12.935820894635842,0.0,14.28049856094905,1399.2691207420517,455.8277816101578
,,,,,,,,,,,,,,,,,,,,,27000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,27337500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,27675000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,28012500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,28350000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,28687500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,29025000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,29362500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,29700000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,30037500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,30375000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,30712500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,31050000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,31387500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
