MetaTest/sweep-into-v2/SuccessRate,reach-v2/NumEpisodes,MetaTest/sweep-into-v2/StdReturn,drawer-close-v2/AverageDiscountedReturn,reach-v2/StdReturn,MetaTest/lever-pull-v2/NumEpisodes,MetaTest/lever-pull-v2/AverageReturn,MetaTest/drawer-open-v2/Iteration,peg-insert-side-v2/AverageDiscountedReturn,MetaTest/drawer-open-v2/AverageDiscountedReturn,MetaTest/shelf-place-v2/SuccessRate,MetaTest/Average/AverageDiscountedReturn,MetaTest/drawer-open-v2/MaxReturn,drawer-close-v2/NumEpisodes,GaussianMLPPolicy/Entropy,reach-v2/TerminationRate,pick-place-v2/SuccessRate,peg-insert-side-v2/NumEpisodes,button-press-topdown-v2/AverageReturn,push-v2/SuccessRate,basketball-v2/NumEpisodes,basketball-v2/SuccessRate,Average/MinReturn,MetaTest/lever-pull-v2/StdReturn,Average/Iteration,window-open-v2/Iteration,sweep-v2/AverageDiscountedReturn,Average/TerminationRate,GaussianMLPPolicy/dLoss,basketball-v2/AverageDiscountedReturn,reach-v2/AverageDiscountedReturn,reach-v2/SuccessRate,Average/AverageReturn,basketball-v2/StdReturn,MetaTest/door-close-v2/StdReturn,MetaTest/Average/TerminationRate,push-v2/MinReturn,sweep-v2/SuccessRate,pick-place-v2/StdReturn,MetaTest/lever-pull-v2/Iteration,Average/StdReturn,door-open-v2/SuccessRate,door-open-v2/MinReturn,MetaTest/lever-pull-v2/MaxReturn,window-open-v2/AverageDiscountedReturn,MetaTest/drawer-open-v2/StdReturn,MetaTest/sweep-into-v2/AverageDiscountedReturn,MetaTest/sweep-into-v2/MinReturn,Average/SuccessRate,MetaTest/shelf-place-v2/AverageReturn,MetaTest/door-close-v2/MaxReturn,window-open-v2/StdReturn,push-v2/StdReturn,door-open-v2/StdReturn,drawer-close-v2/Iteration,MetaTest/door-close-v2/TerminationRate,window-open-v2/MaxReturn,MetaTest/door-close-v2/Iteration,MetaTest/shelf-place-v2/AverageDiscountedReturn,reach-v2/MinReturn,push-v2/Iteration,MetaTest/sweep-into-v2/Iteration,basketball-v2/MaxReturn,MetaTest/lever-pull-v2/TerminationRate,MetaTest/Average/MaxReturn,pick-place-v2/MinReturn,window-open-v2/NumEpisodes,MetaTest/Average/StdReturn,MetaTest/sweep-into-v2/AverageReturn,MetaTest/drawer-open-v2/TerminationRate,MetaTest/shelf-place-v2/MaxReturn,door-open-v2/MaxReturn,reach-v2/AverageReturn,drawer-close-v2/AverageReturn,MetaTest/Average/Iteration,MetaTest/shelf-place-v2/StdReturn,sweep-v2/AverageReturn,Average/MaxReturn,peg-insert-side-v2/StdReturn,GaussianMLPPolicy/LossBefore,MetaTest/door-close-v2/NumEpisodes,MetaTest/door-close-v2/MinReturn,MetaTest/Average/SuccessRate,basketball-v2/Iteration,pick-place-v2/AverageDiscountedReturn,drawer-close-v2/SuccessRate,window-open-v2/TerminationRate,drawer-close-v2/TerminationRate,window-open-v2/SuccessRate,button-press-topdown-v2/MaxReturn,MetaTest/sweep-into-v2/NumEpisodes,peg-insert-side-v2/Iteration,MetaTest/lever-pull-v2/AverageDiscountedReturn,push-v2/MaxReturn,GaussianMLPPolicy/KLBefore,Iteration,push-v2/NumEpisodes,door-open-v2/TerminationRate,basketball-v2/TerminationRate,MetaTest/sweep-into-v2/MaxReturn,MetaTest/drawer-open-v2/NumEpisodes,MetaTest/door-close-v2/AverageReturn,button-press-topdown-v2/SuccessRate,pick-place-v2/TerminationRate,window-open-v2/AverageReturn,sweep-v2/MaxReturn,button-press-topdown-v2/TerminationRate,sweep-v2/NumEpisodes,door-open-v2/AverageDiscountedReturn,peg-insert-side-v2/SuccessRate,sweep-v2/StdReturn,push-v2/AverageReturn,Average/AverageDiscountedReturn,GaussianMLPPolicy/KLAfter,MetaTest/door-close-v2/SuccessRate,peg-insert-side-v2/TerminationRate,basketball-v2/AverageReturn,pick-place-v2/Iteration,door-open-v2/Iteration,peg-insert-side-v2/MaxReturn,MetaTest/drawer-open-v2/SuccessRate,sweep-v2/MinReturn,MetaTest/shelf-place-v2/NumEpisodes,door-open-v2/AverageReturn,GaussianMLPPolicy/LossAfter,MetaTest/sweep-into-v2/TerminationRate,MetaTest/drawer-open-v2/AverageReturn,reach-v2/Iteration,peg-insert-side-v2/MinReturn,window-open-v2/MinReturn,push-v2/TerminationRate,MetaTest/door-close-v2/AverageDiscountedReturn,button-press-topdown-v2/Iteration,MetaTest/lever-pull-v2/MinReturn,drawer-close-v2/StdReturn,button-press-topdown-v2/StdReturn,sweep-v2/TerminationRate,pick-place-v2/NumEpisodes,MetaTest/Average/MinReturn,pick-place-v2/AverageReturn,MetaTest/shelf-place-v2/MinReturn,push-v2/AverageDiscountedReturn,Average/NumEpisodes,door-open-v2/NumEpisodes,button-press-topdown-v2/NumEpisodes,MetaTest/lever-pull-v2/SuccessRate,MetaTest/Average/NumEpisodes,sweep-v2/Iteration,button-press-topdown-v2/AverageDiscountedReturn,button-press-topdown-v2/MinReturn,TotalEnvSteps,reach-v2/MaxReturn,MetaTest/shelf-place-v2/Iteration,basketball-v2/MinReturn,peg-insert-side-v2/AverageReturn,drawer-close-v2/MinReturn,pick-place-v2/MaxReturn,MetaTest/Average/AverageReturn,MetaTest/drawer-open-v2/MinReturn,MetaTest/shelf-place-v2/TerminationRate,drawer-close-v2/MaxReturn
0.0,20,82.24857601520313,133.33203527870452,66.85027609858318,50,211.75444970725894,0,0.9013266221582956,966.0001574151648,0.0,340.548021613028,2111.2220046021253,20,5.6754841804504395,0.0,0.0,20,322.980472577004,0.0,20,0.0,1.1195519299589722,95.44399050188001,0,0,14.454973430340454,0.0,0.007466050796210766,2.175268236588618,71.80943701500408,0.0,224.87177359113025,2.9265227852844533,936.2847568851752,0.0,6.574550880390358,0.0,4.564467901582056,0,662.3699058099987,0.0,175.56002127913166,382.4331808283457,41.02695573925815,535.9338781955628,53.780264872763425,5.756771145265669,0.055,0.0,3696.8987498789456,17.817072997311225,25.78184284825426,138.50550680312065,0,0.0,240.46466186533246,0,0.0,147.94738054370848,0,0,13.601848155618319,0.0,3696.8987498789456,2.6341802903793794,20,600.4642901482908,53.780264872763446,0.0,0.0,591.5287040434132,213.87408778503132,1147.7746054806978,0,0.0,43.40799914495915,4737.601895818654,0.8741235556590674,-0.005850973539054394,50,33.65719461499419,0.024,0,2.295999461241673,0.3,0.0,0.0,0.0,496.0027961433477,50,0,211.75444970725883,90.3212091457795,0.0,0,20,0.0,0.0,373.52265107710224,50,471.205236069953,0.25,0.0,195.73998211158764,78.48729303831159,0.0,20,45.63273141211741,0.0,15.618555885896964,24.92526918153186,38.062140540403675,0.008878753520548344,0.12,0.0,5.25132789280867,0,0,4.980293395522736,0.0,24.252260367685004,50,283.68742999956055,-0.01331702433526516,0.0,966.0001574151648,0,2.431549247071191,165.72505682704528,0.0,471.2052360699531,0,37.02632767934682,1808.8543035598723,85.49506073355394,0.0,20,0.0,7.485286855958584,0.0,11.484796601303552,200,20,20,0.0,250,0,57.507881607320016,145.5575765821121,200000,467.0912797576477,0,1.1195519299589722,3.591274882163291,2.972718748881178,21.0773533268704,340.548021613028,422.0888638530104,0.0,4737.601895818654
0.0,20,19.446996042219975,102.4969520062355,53.80394892403963,50,219.81870973492073,1,1.777231542247431,862.6693868748548,0.0,291.244113546452,2275.5372549086155,20,5.693305492401123,0.0,0.0,20,237.7107087834314,0.0,20,0.0,1.3123344845498044,95.32415462602299,1,1,14.325664427713576,0.0,0.006296873092651367,1.5290428970326604,96.42121092820712,0.0,230.53589558922053,1.3320923313390254,715.9956263637505,0.0,9.141622057312427,0.0,6.673645688365987,1,609.7544135982318,0.0,175.43308150950347,370.5424832988248,40.865106985467705,422.0100455128215,35.082237115815175,8.87652414571073,0.045,0.0,3419.2405400110315,23.547234621749734,19.437225302725356,167.962755007848,1,0.0,235.17191845043908,1,0.0,167.2713276075651,1,1,8.40139265774766,0.0,3419.2405400110315,2.374223092839905,20,486.728858354028,35.08223711581518,0.0,0.0,646.7671294552765,269.6273819494545,1104.6532969667148,1,0.0,43.86491744886684,4713.889613140001,3.1930710613880455,0.0026109484024345875,50,51.9565728543386,0.016,1,2.6215157442862194,0.4,0.0,0.0,0.0,428.36953699501083,50,1,219.81870973492082,78.22849672100503,0.0,1,20,0.0,0.0,113.02392476269263,50,338.65023400666934,0.05,0.0,190.1258371464422,68.77391056848431,0.0,20,68.12090908190375,0.0,11.381675604324805,33.04516269187593,38.79310587791482,0.009487445466220379,0.08,0.0,4.711297445550437,1,1,14.343973172175568,0.0,22.359490564518808,50,408.30251961704215,-0.0036859246902167797,0.0,862.6693868748546,1,2.7234110268770446,158.47357997684188,0.0,338.6502340066692,1,51.202951002595654,1627.3296555045215,116.58021802823924,0.0,20,0.0,8.243032782049452,0.0,11.104046697569435,200,20,20,0.0,250,1,48.66937846848477,78.62455818068663,400000,379.29792282102767,1,2.8914322681753735,5.07480106077735,1.3123344845498044,25.440963077998855,291.24411354645196,411.89125469612355,0.0,4713.889613140001
0.0,20,21.012180578270087,231.76499251195173,26.973090475177475,50,212.81769286328455,2,3.4173101235880123,786.8066959925402,0.0,234.19756372842875,2240.6891166062924,20,5.662404537200928,0.0,0.0,20,371.4563434965007,0.0,20,0.0,1.3554759826138219,101.54771349199444,2,2,22.2050944679436,0.0,0.004415556322783232,1.526848243269113,64.81012761198892,0.0,352.3092492199961,2.851401424626885,40.83449728195945,0.0,8.991835433315773,0.0,4.572790961287455,2,884.4461268257191,0.0,176.17875019916227,375.5436932568128,41.71908985850003,456.2640121186823,37.182097061514625,10.279764674022642,0.125,0.03372446233417422,239.4457444166599,51.750009388576196,18.64723266320445,164.35593427029144,2,0.0,428.2744220322712,2,0.03372446233417423,144.42619975146033,2,2,14.672442557932865,0.0,2240.6891166062924,2.030818761838888,20,354.9900127609287,37.182097061514625,0.0,1.5586253486650123,625.5491055626131,175.0450065222205,2324.4187285351422,2,0.21857388681745166,68.44549055628356,4636.751448222578,23.08876471376093,-0.005204526241868734,50,54.04037452763043,0.0,2,1.9476507983500135,0.75,0.0,0.0,0.05,515.1857312691852,50,2,212.81769286328455,71.53425689215116,0.0,2,20,0.0,0.0,134.86708327140397,50,134.14760826247004,0.45,0.0,212.16396761865303,306.38123399670565,0.0,20,55.601379314858335,0.0,55.58703090172927,26.697771102565014,49.56562483746035,0.00996258296072483,0.0,0.0,4.63976896178144,2,2,89.58723000381697,0.0,27.3464241272672,50,315.7884468956314,-0.009620082564651966,0.0,786.8066959925404,2,3.156729354082163,172.96959757571832,0.0,134.14760826247007,2,40.32124301117885,1814.7196953590224,118.15737375833729,0.0,20,0.0,5.736255034732353,0.0,8.62770401345247,200,20,20,0.0,250,2,64.03605143070129,132.83776732195443,600000,241.8598783698396,2,1.4613086524962484,18.700713476451053,1.3554759826138219,22.889379949338625,234.19756372842875,412.9038736942496,0.0,4636.751448222578
0.0,20,31.288535752159532,88.59964408218573,41.475383963885974,50,218.07337022984063,3,1.2706673469056728,848.6722910421126,0.0,247.2395617661276,2226.528351199127,20,5.687861919403076,0.0,0.0,20,277.9448738008815,0.05,20,0.0,1.3171840715472563,94.16649057852048,3,3,14.748161553075061,0.0,0.017047954897861928,1.6779764346039152,71.60410823169966,0.0,192.2549980780916,3.033820214432321,43.91451119571201,0.0,11.814144583074722,0.0,2.3190577087131765,3,532.0991456193129,0.0,175.71481157091102,366.45005074212054,40.1900788121831,489.6393209666526,40.87815346474898,11.205437205647591,0.055,0.009424830074306834,224.51983794195155,17.568945170255706,172.98078282252902,131.15664911235461,3,0.0,229.8054432732205,3,0.009424830074306834,147.14988127661286,3,3,15.864480347732593,0.0,2226.528351199127,1.31804087738963,20,382.59246557250134,40.878153464748976,0.0,0.4712415037153417,563.8394594301218,204.62986374714086,785.5023144171264,3,0.06597381052014784,51.55107116536849,4702.837520967279,3.2975754312022754,-0.00026543979765847325,50,52.26764971242962,0.0,3,0.6967164627174429,0.35,0.0,0.0,0.0,514.1106394154133,50,3,218.07337022984063,810.9548419693637,0.0,3,20,0.0,0.0,200.0023290988811,50,128.56456926386133,0.15,0.0,187.02403346890506,64.55030635914038,0.0,20,58.29229674278222,0.0,7.663149498594968,70.1275447831337,34.51639036580531,0.009906766004860401,0.0,0.0,4.591165916299294,3,3,8.488722673995987,0.0,33.18965976639959,50,332.39847566795515,-0.0173133946955204,0.0,848.6722910421126,3,1.5016165444477159,158.8239361965179,0.0,128.56456926386136,3,41.12693951150941,1500.1006108819874,110.14728091494327,0.0,20,0.0,3.7814586508313797,0.0,15.26767899713468,200,20,20,0.0,250,3,52.81657499476555,135.51839239415906,800000,319.09464382688776,3,1.363279084902906,4.999179163273904,1.3171840715472563,7.052597413643379,247.23956176612762,403.67637146598247,0.0,4702.837520967279
0.0,20,57.72269040637271,114.87088939952602,38.73250881523924,50,218.5033646361599,4,5.007402372997821,890.1443914842234,0.0,272.07448587306925,2357.2296971940586,20,5.699001789093018,0.0,0.0,20,259.83476592086873,0.0,20,0.0,1.8769859132994835,101.18508874319247,4,4,24.91840910776415,0.0,0.003771234769374132,3.0880309754422575,87.20579109519521,0.0,254.9578224230223,6.062802773139134,538.5672582025709,0.0,6.628401543623005,0.0,1.025762432252639,4,637.1035803611759,0.0,177.16005597999208,405.46544824237645,41.528612665785154,551.9759718555323,46.22742174042938,7.780677711823449,0.055,0.04954167023188938,3961.038669159776,24.29136949708951,22.069966767833968,161.3300663753536,4,0.0,254.31624012331554,4,0.04954167023188938,180.40679797308337,4,4,20.078115592576818,0.0,3961.038669159776,2.6020902659956664,20,473.8410036571042,46.22742174042939,0.0,2.477083511594469,758.4347738705293,241.77304519982187,1305.0046927367798,4,0.3467916916232256,68.08484910097663,4756.689069514648,26.272452499159066,0.005413117352873087,50,45.47831588736906,0.004,4,1.2853239312624682,0.45,0.0,0.0,0.0,429.1167083867257,50,4,218.5033646361599,96.72376875223856,0.0,4,20,0.0,0.0,370.4156688339333,50,205.4477098343019,0.1,0.0,206.32124071262882,220.11568884105964,0.0,20,67.38490469043731,0.0,54.77390904171868,24.68634634366414,40.66497587309149,0.0065658739767968655,0.02,0.0,9.87236356097196,4,4,90.49835632759445,0.0,21.557125487503246,50,410.92791324138733,0.0016418825834989548,0.0,890.1443914842232,4,2.3711125980760075,166.8041387691229,0.0,205.44770983430192,4,33.17861001258003,1618.5383819880706,104.28050811097467,0.0,20,0.0,3.5879319640238903,0.0,8.921915467826881,200,20,20,0.0,250,4,52.438479024677676,81.10307056652583,1000000,328.1915953094515,4,1.8769859132994835,19.48507544909976,2.7006471276834523,6.591344027056432,272.07448587306925,402.554419493823,0.0,4756.689069514648
0.0,20,15.11021877745915,124.7665832113046,36.083451968092916,50,209.0764749660671,5,1.4547949773445754,883.7198232771475,0.0,247.97150868319656,2284.2094592781045,20,5.725139141082764,0.0,0.0,20,252.60833530337527,0.0,20,0.0,0.9750412039682204,94.02570707759254,5,5,17.052947563693014,0.0,0.010262374067679048,2.1614210979238084,71.02664259135334,0.0,188.8377718319359,3.768479531481731,40.27731004189049,0.0,6.5463919834261795,0.0,0.8320617204566998,5,575.9466496280121,0.0,176.57405187150582,373.02373480618394,39.43473938000373,545.5460872170588,35.697933707015935,11.255506456479441,0.035,0.13718338856730036,205.56942977237637,35.53121651721833,31.741763425634765,181.5436104947775,5,0.0,302.5710981945115,5,0.13718338856730036,183.66714465797799,5,5,16.533727973228704,0.0,2284.2094592781045,1.7217657613953534,20,409.6785676727383,35.697933707015935,0.0,6.084739954778009,698.845021805238,219.8150184825491,782.7811540734241,5,0.8550237037205153,56.41013767123246,4734.5010179497,2.3527752172003806,0.012908900156617165,50,44.57897267839636,0.0,5,0.7807723142491514,0.3,0.0,0.0,0.0,466.3138897404862,50,5,209.07647496606714,147.2710213903738,0.0,5,20,0.0,0.0,81.1875785664081,50,111.22612807718517,0.05,0.0,184.93188449892392,112.89446863488878,0.0,20,65.83382648985175,0.0,16.509568293088734,22.64381386560742,38.37875735727103,0.009115856140851974,0.0,0.0,6.001489389608385,5,5,9.639560409900088,0.0,27.86641157062304,50,355.49108263552426,0.002646526088938117,0.0,883.7198232771473,5,0.9750412039682204,125.48153754035505,0.0,111.22612807718517,5,46.79237533968658,1654.661276678929,99.01199180691185,0.0,20,0.0,2.8654089359755086,0.0,8.42725775267355,200,20,20,0.0,250,5,52.84858819431272,135.95394861700206,1200000,330.254259752693,5,1.3607686262773246,4.8293934631386914,1.6655505363153111,4.581440877078185,247.97150868319656,392.5394377742459,0.0,4734.5010179497
0.0,20,73.9151575771736,129.61309924687214,72.89815032583849,50,195.30256539182446,6,3.5422541460887396,736.3911972574913,0.0,222.17974881743422,1977.2881070772341,20,5.756527423858643,0.0,0.0,20,242.4460748990485,0.0,20,0.0,1.4777591044914447,99.21395161083832,6,6,20.109361654139732,0.0,0.0063635907135903835,2.171562893463512,60.00743584979769,0.0,194.88198393990479,2.126942776931803,281.3162153817349,0.0,8.485041558297503,0.0,0.3310341161653613,6,585.2373293960342,0.0,176.70902585407464,358.54886893605664,40.16145718817794,395.44031479786764,55.12567547699979,10.699001063953968,0.035,0.0,2067.5363714142195,23.199127943615665,16.467940005713597,158.4119400661536,6,0.0,253.56148866746415,6,0.0,138.1431160431948,6,6,10.025542315863497,0.0,2067.5363714142195,2.404025745549051,20,347.2316552696822,55.12567547699977,0.0,0.0,675.8566732873539,187.59084251901044,801.3507303911509,6,0.0,63.64034315149748,4775.162991507403,25.553525609972706,-0.0033822921104729176,50,36.57393810835712,0.004,6,0.9414397541203507,0.25,0.0,0.0,0.0,514.9798246983215,50,6,195.30256539182443,83.31772501209598,0.0,6,20,0.0,0.0,511.62865282938924,50,124.0793059608556,0.1,0.0,183.9709478059539,225.71253915390116,0.0,20,70.9748722152761,0.0,51.72305065717136,21.659829638527334,38.596360547349285,0.008207622915506363,0.02,0.0,4.938611224024459,6,6,95.55333824520466,0.0,25.83631800520376,50,422.4761843195964,-0.009745882824063301,0.0,736.3911972574913,6,4.60095231752046,146.0226251168862,0.0,124.0793059608555,6,32.500051514997814,1673.0537330651593,133.5022213809409,0.0,20,0.0,2.919836836752744,0.0,7.9884039556912425,200,20,20,0.0,250,6,50.45371856986539,110.88107452020826,1400000,404.59498416766553,6,1.4777591044914447,17.82643861348574,3.016487654214826,3.561814164072311,222.17974881743424,410.77954859781073,0.0,4775.162991507403
0.0,20,101.52909281879734,173.20653803603167,24.45343402226431,50,198.74566091459656,7,2.3470861316035174,806.6218174812266,0.0,223.42802134728942,2243.1590164746935,20,5.74448823928833,0.0,0.0,20,134.86418181316313,0.0,20,0.0,1.9566717903437096,97.35971074656125,7,7,15.69911511306654,0.0,0.001847070874646306,2.448743036444264,61.40012683247056,0.0,288.7815129933113,2.887350450357484,8.483131958845027,0.0,11.211955934052384,0.0,1.1265066740762801,7,792.7818806200843,0.0,176.01039547969998,367.1008890170012,42.28785309441015,501.1863767711694,67.14874602880602,9.820421196678772,0.065,0.0,90.99898694172849,26.019322987070968,7.342397492231526,137.8717831821636,7,0.0,262.6010329268158,7,0.0,141.8034746016116,7,7,14.182810734508179,0.0,2243.1590164746935,1.9566717903437096,20,378.9684032404809,67.14874602880599,0.0,0.0,600.5022364370388,197.5543264086803,1866.8571127531536,7,0.0,49.9368707225214,4741.937448884638,5.788676094252518,-0.003319111419841647,50,33.77566813177433,0.0,7,1.475571013990685,0.6,0.0,0.0,0.0,321.21835250557024,50,7,198.74566091459653,43.18519762377403,0.0,7,20,0.0,0.0,566.3055940506702,50,44.623882311817994,0.05,0.0,221.67670005225256,79.15053306321461,0.0,20,62.086100345262096,0.0,11.281444738571215,22.4413878065163,40.56368337390312,0.009313909336924553,0.0,0.0,5.7038064584861505,7,7,20.13435783450628,0.0,34.85087766045921,50,374.9578954564467,-0.005166182294487953,0.0,806.6218174812263,7,2.705477287419836,143.86919843761837,0.0,44.623882311817994,7,32.753910303585776,1832.8974787733468,60.84720888387207,0.0,20,0.0,3.4202731949929053,0.0,5.711519030999194,200,20,20,0.0,250,7,38.97418110475253,69.59665246725864,1600000,232.0489565746918,7,2.5674802117975415,10.402575266900136,2.7935874140354007,6.342334252499503,223.42802134728942,402.31060117381867,0.0,4741.937448884638
0.0,20,64.8090371731991,89.52707779961477,86.93513190280686,50,209.60722006811412,8,1.3827747977296843,781.8012965265016,0.0,216.9648410887464,2449.094957430581,20,5.749810218811035,0.0,0.0,20,220.37243975498853,0.0,20,0.0,1.6118890370522698,92.47782528026352,8,8,16.917925122124423,0.0,0.015439985319972038,1.346294722198142,58.242060726047306,0.0,261.89253510882025,1.3429301549902948,5.422449674044812,0.0,7.709994868746339,0.0,1.5983202340561082,8,587.8646978938257,0.0,177.02653613102234,367.0517889972125,41.46137062597645,465.2719276894264,51.802073542400755,10.202324920064173,0.09,0.0,64.3360879447078,30.55375306376003,18.526890548595453,150.54063424450771,8,0.0,270.59479461531066,8,0.0,107.79049170695443,8,8,9.404186458462952,0.0,2449.094957430581,1.6118890370522698,20,361.51199690694943,51.802073542400755,0.0,0.0,839.1881374040637,193.2113777654286,1443.5510079638848,8,0.0,57.638698871945316,4293.849256084992,3.121421566192246,-0.004681428894400597,50,31.39193448842818,0.0,8,0.753090651799692,0.8,0.0,0.0,0.0,536.486883839881,50,8,209.60722006811415,82.49687446563927,0.0,8,20,0.0,0.0,392.39431770065636,50,41.61361530671522,0.1,0.0,203.14726283158066,129.48539989602986,0.0,20,87.60371360306463,0.0,18.519388771135556,23.395301770216474,35.62908330403939,0.00946615356951952,0.0,0.0,5.546705314656787,8,8,12.839005284046333,0.0,37.92063455843072,50,463.29591260416055,-0.020121414214372635,0.0,781.8012965265018,8,2.596162244722224,151.0054169142813,0.0,41.61361530671522,8,44.801409143731775,1290.9575880174382,117.10383956453005,0.0,20,0.0,3.298639967520071,0.0,7.87012628706046,200,20,20,0.0,250,8,51.186398704778355,105.53567316996508,1800000,500.6172854106479,8,3.728494597443362,5.468004243820678,3.9201394622891788,7.228421441906783,216.9648410887464,408.30295672127266,0.0,4293.849256084992
0.0,20,34.498494911441384,118.43182899999556,106.0397794484757,50,198.22110807100395,9,2.539624321556455,815.0691145827118,0.0,219.5880187454329,2192.7443759964576,20,5.705914497375488,0.0,0.0,20,201.46469088262273,0.0,20,0.0,1.4400413865651396,90.27406372735919,9,9,16.4204188789697,0.0,0.002215093933045864,1.4341067778369672,85.63157144586266,0.0,223.8519624775811,4.122504446129128,14.208923153772195,0.0,5.595418793688937,0.0,4.351990392374481,9,525.9194273416156,0.0,260.8800975716941,341.65151028337164,40.68307867440481,454.05214767771764,40.23959986791992,7.258965283870444,0.06,0.01865485785147495,112.65822809342585,28.537031220262275,59.47734753393564,135.8732124588685,9,0.0,254.24386453496658,9,0.01865485785147495,175.92331055155262,9,9,22.118280318625974,0.0,2192.7443759964576,3.8620842201661234,20,369.27751931570646,40.23959986791993,0.0,0.7523113042281683,798.1493250171944,277.8280872098802,908.0541046688071,9,0.10780794687493675,50.144043982549064,4476.106182331298,8.22400999007442,-0.005891040898859501,50,35.82233746714328,0.0,9,3.374297570084677,0.5,0.0,0.0,0.0,461.51143247053966,50,9,198.2211080710039,285.086988923887,0.0,9,20,0.0,0.0,219.02059205840135,50,44.39161634767745,0.1,0.0,200.37608994616568,101.91455673176367,0.0,20,89.89138718997458,0.0,16.243551428355786,27.671232174344606,41.01833996794605,0.006989080458879471,0.0,0.0,6.2520714363583005,9,9,32.68071877790422,0.0,28.502655916446408,50,549.2556735547583,-0.008106134831905365,0.0,815.0691145827118,9,3.2366113220624033,139.96178272698225,0.0,44.39161634767743,9,29.68843203359731,1388.4644668342107,130.79503681961629,0.0,20,0.0,8.377085416714147,0.0,7.839115834259774,200,20,20,0.0,250,9,43.937969986515306,78.49889698123299,2000000,582.2906116060537,9,1.4400413865651396,9.096545503611031,4.085064899678236,23.061533100832758,219.5880187454329,396.4598994073138,0.0,4476.106182331298
