Average/SuccessRate,MetaTest/basketball-v2/StdReturn,Average/TerminationRate,MetaTest/basketball-v2/MaxReturn,basketball-v2/SuccessRate,Average/MaxReturn,MetaTest/Average/MaxReturn,MetaTest/basketball-v2/SuccessRate,basketball-v2/NumEpisodes,basketball-v2/TerminationRate,GaussianMLPPolicy/KLAfter,GaussianMLPPolicy/Entropy,MetaTest/Average/AverageDiscountedReturn,MetaTest/Average/SuccessRate,MetaTest/Average/MinReturn,Average/AverageDiscountedReturn,MetaTest/basketball-v2/Iteration,MetaTest/basketball-v2/TerminationRate,MetaTest/basketball-v2/NumEpisodes,MetaTest/basketball-v2/AverageReturn,Average/Iteration,basketball-v2/AverageReturn,GaussianMLPPolicy/LossAfter,basketball-v2/AverageDiscountedReturn,Iteration,Average/MinReturn,basketball-v2/MinReturn,MetaTest/Average/AverageReturn,Average/StdReturn,MetaTest/basketball-v2/MinReturn,basketball-v2/StdReturn,Average/NumEpisodes,GaussianMLPPolicy/KLBefore,MetaTest/basketball-v2/AverageDiscountedReturn,MetaTest/Average/StdReturn,basketball-v2/MaxReturn,GaussianMLPPolicy/LossBefore,GaussianMLPPolicy/dLoss,MetaTest/Average/Iteration,TotalEnvSteps,Average/AverageReturn,MetaTest/Average/NumEpisodes,MetaTest/Average/TerminationRate,basketball-v2/Iteration
0.0,6.610115471258073,0.0,27.005084527900358,0.0,27.355255216934513,27.005084527900358,0.0,200,0.0,0.006489192135632038,5.701965808868408,10.102402464371739,0.0,1.4959229428905767,2.1357591902091984,0,0.0,50,10.10240246437174,0,5.9015559267760285,0.0037448848597705364,2.1357591902091984,0,0.7320223472357693,0.7320223472357693,10.10240246437174,4.281444541206538,1.4959229428905767,4.281444541206538,200,0.0,10.102402464371739,6.610115471258073,27.355255216934513,0.005659452173858881,0.0019145673140883446,0,200000,5.9015559267760285,50,0.0,0
0.0,5.344282755207634,0.0,23.69379648811467,0.0,130.9638751836124,23.69379648811467,0.0,200,0.0,0.006542562507092953,5.692643165588379,11.034892563857342,0.0,2.8212184139808976,3.5895726449636047,1,0.0,50,11.03489256385734,1,9.976750816050018,-0.0023139796685427427,3.5895726449636047,1,0.7949430023314064,0.7949430023314064,11.03489256385734,10.83371638501765,2.8212184139808976,10.83371638501765,200,0.0,11.034892563857342,5.344282755207634,130.9638751836124,-0.0012001279974356294,0.0011138516711071134,1,400000,9.976750816050018,50,0.0,1
0.0,6.3956643358301255,0.0,32.01976009445568,0.0,38.88709573834561,32.01976009445568,0.0,200,0.0,0.006429544650018215,5.686272621154785,12.270428667165271,0.0,2.3209900823112513,4.206863923745592,2,0.0,50,12.270428667165271,2,11.907001247902468,-0.0025189281441271305,4.206863923745592,2,1.4991833561096068,1.4991833561096068,12.270428667165271,7.233221321419319,2.3209900823112513,7.233221321419319,200,0.0,12.270428667165271,6.3956643358301255,38.88709573834561,-0.0007949458668008447,0.0017239822773262858,2,600000,11.907001247902468,50,0.0,2
0.0,6.63741022001013,0.0,30.822708584565966,0.0,39.898801534926925,30.822708584565966,0.0,200,0.0,0.009722298011183739,5.700839519500732,13.996428154115346,0.0,4.597658929613644,4.611335422809571,3,0.0,50,13.996428154115344,3,13.353355018382638,-0.00022456720762420446,4.611335422809571,3,1.582754722003129,1.582754722003129,13.996428154115344,6.842795516595082,4.597658929613644,6.842795516595082,200,0.0,13.996428154115346,6.63741022001013,39.898801534926925,0.0011000188533216715,0.001324586060945876,3,800000,13.353355018382638,50,0.0,3
0.0,6.388643666104097,0.0,29.774239261340572,0.0,37.41545398135464,29.774239261340572,0.0,200,0.0,0.009861950762569904,5.715465068817139,12.87183949129642,0.0,2.7922088599313843,4.728282207689406,4,0.0,50,12.871839491296424,4,15.220950842173172,-0.0010406423825770617,4.728282207689406,4,3.6150466627460496,3.6150466627460496,12.871839491296424,7.102921454168675,2.7922088599313843,7.102921454168675,200,0.0,12.87183949129642,6.388643666104097,37.41545398135464,0.001111318706534803,0.0021519610891118646,4,1000000,15.220950842173172,50,0.0,4
0.0,8.153013409763064,0.0,33.9780287084969,0.0,38.53033638882794,33.9780287084969,0.0,200,0.0,0.00644540274515748,5.7328057289123535,15.114875650366054,0.0,2.044833413477817,4.767750503270641,5,0.0,50,15.114875650366052,5,15.154827476353825,0.00014607023331336677,4.767750503270641,5,2.121027159342624,2.121027159342624,15.114875650366052,7.233537135533872,2.044833413477817,7.233537135533872,200,0.0,15.114875650366054,8.153013409763064,38.53033638882794,0.0015906303888186812,0.0014445601555053145,5,1200000,15.154827476353825,50,0.0,5
0.0,7.549748783029186,0.0,36.003108894956085,0.0,38.59636883736251,36.003108894956085,0.0,200,0.0,0.006629650946706533,5.726562976837158,15.270568254699112,0.0,2.8779210550184566,4.938481378453649,6,0.0,50,15.27056825469911,6,15.861782414117402,-0.0019681130070239305,4.938481378453649,6,3.3806285759023282,3.3806285759023282,15.27056825469911,7.494946036843519,2.8779210550184566,7.494946036843519,200,0.0,15.270568254699112,7.549748783029186,38.59636883736251,-0.0005942932330071926,0.001373819774016738,6,1400000,15.861782414117402,50,0.0,6
0.0,7.903263238920125,0.0,31.306136051050718,0.0,38.92118280725464,31.306136051050718,0.0,200,0.0,0.00664345920085907,5.6974873542785645,16.084886323206437,0.0,2.3539338260699276,4.739737196497644,7,0.0,50,16.084886323206437,7,15.123781167419613,-0.00366353802382946,4.739737196497644,7,1.895192480027822,1.895192480027822,16.084886323206437,8.220875748316415,2.3539338260699276,8.220875748316415,200,0.0,16.084886323206437,7.903263238920125,38.92118280725464,-0.002431559609249234,0.001231978414580226,7,1600000,15.123781167419613,50,0.0,7
0.0,8.575443110531639,0.0,36.68571838029448,0.0,36.706313414006594,36.68571838029448,0.0,200,0.0,0.006507808808237314,5.701292991638184,16.95188057581664,0.0,4.115149803436511,5.10837832283122,8,0.0,50,16.95188057581664,8,16.103968324139476,-0.0009055901318788528,5.10837832283122,8,2.353409831578811,2.353409831578811,16.95188057581664,7.693724231366929,4.115149803436511,7.693724231366929,200,0.0,16.95188057581664,8.575443110531639,36.706313414006594,0.00048139263526536524,0.001386982767144218,8,1800000,16.103968324139476,50,0.0,8
0.0,6.537095659563449,0.0,32.14162888375768,0.0,36.565952818315594,32.14162888375768,0.0,200,0.0,0.009779071435332298,5.74666690826416,16.615152219813094,0.0,5.482023542462484,5.047500503690422,9,0.0,50,16.615152219813087,9,17.069778715815655,0.0002283396606799215,5.047500503690422,9,2.3653832995217825,2.3653832995217825,16.615152219813087,7.598664704214656,5.482023542462484,7.598664704214656,200,0.0,16.615152219813094,6.537095659563449,36.565952818315594,0.003030412597581744,0.0028020729369018227,9,2000000,17.069778715815655,50,0.0,9
