MetaTest/basketball-v2/MaxReturn,MetaTest/basketball-v2/MinReturn,GaussianMLPPolicy/Entropy,Iteration,MetaTest/basketball-v2/StdReturn,Average/AverageDiscountedReturn,basketball-v2/MinReturn,GaussianMLPPolicy/dLoss,basketball-v2/TerminationRate,MetaTest/Average/AverageReturn,MetaTest/Average/AverageDiscountedReturn,Average/Iteration,MetaTest/Average/TerminationRate,MetaTest/Average/StdReturn,MetaTest/Average/NumEpisodes,basketball-v2/AverageDiscountedReturn,GaussianMLPPolicy/LossAfter,Average/NumEpisodes,GaussianMLPPolicy/KLBefore,Average/AverageReturn,MetaTest/basketball-v2/AverageReturn,Average/TerminationRate,Average/MaxReturn,MetaTest/basketball-v2/SuccessRate,basketball-v2/NumEpisodes,TotalEnvSteps,basketball-v2/StdReturn,MetaTest/Average/SuccessRate,Average/SuccessRate,basketball-v2/AverageReturn,MetaTest/basketball-v2/NumEpisodes,MetaTest/Average/Iteration,GaussianMLPPolicy/LossBefore,basketball-v2/SuccessRate,MetaTest/basketball-v2/Iteration,Average/MinReturn,Average/StdReturn,MetaTest/basketball-v2/AverageDiscountedReturn,basketball-v2/Iteration,GaussianMLPPolicy/KLAfter,basketball-v2/MaxReturn,MetaTest/Average/MaxReturn,MetaTest/basketball-v2/TerminationRate,MetaTest/Average/MinReturn
22.751537430499006,1.155921219243006,5.647824287414551,0,4.0639061553342355,2.1673043494309585,0.3774403119767619,0.0036193556152284145,0.0,6.061126388362793,6.061126388362794,0,0.0,4.0639061553342355,50,2.1673043494309585,-0.00909447856247425,200,0.0,6.5025168186849625,6.061126388362793,0.0,70.27716173312825,0.0,200,200000,6.594050182049699,0.0,0.0,6.5025168186849625,50,0,-0.005475122947245836,0.0,0,0.3774403119767619,6.594050182049699,6.061126388362794,0,0.006632490549236536,70.27716173312825,22.751537430499006,0.0,1.155921219243006
20.49487814096234,1.8676673467005165,5.637085437774658,1,3.68392043536526,2.5723525706261707,1.013755601566176,0.003056650049984455,0.0,6.910337087074457,6.910337087074458,1,0.0,3.68392043536526,50,2.5723525706261707,-0.004921401850879192,200,0.0,7.26800570918559,6.910337087074457,0.0,25.267997871462082,0.0,200,400000,4.798194708142998,0.0,0.0,7.26800570918559,50,1,-0.0018647518008947372,0.0,1,1.013755601566176,4.798194708142998,6.910337087074458,1,0.006577229592949152,25.267997871462082,20.49487814096234,0.0,1.8676673467005165
149.5870838939713,1.4605497532592258,5.651810646057129,2,21.14265358661238,2.812820983849595,1.5176705251481555,0.002768141799606383,0.0,11.92036045302443,11.920360453024433,2,0.0,21.14265358661238,50,2.812820983849595,-0.0008507013553753495,200,0.0,8.445659387191435,11.92036045302443,0.0,157.9365006980064,0.0,200,600000,11.994539468838312,0.0,0.0,8.445659387191435,50,2,0.0019174404442310333,0.0,2,1.5176705251481555,11.994539468838312,11.920360453024433,2,0.009966414421796799,157.9365006980064,149.5870838939713,0.0,1.4605497532592258
34.83082439522203,2.635704144422177,5.636428356170654,3,7.247169726686689,3.951105715922659,2.351594048355074,0.0002445513382554054,0.0,11.927270235224755,11.927270235224755,3,0.0,7.247169726686689,50,3.951105715922659,-0.0027822426054626703,200,0.0,10.45605544528487,11.927270235224755,0.0,153.14912738223688,0.0,200,800000,12.01487689724137,0.0,0.0,10.45605544528487,50,3,-0.002537691267207265,0.0,3,2.351594048355074,12.01487689724137,11.927270235224755,3,0.0041076671332120895,153.14912738223688,34.83082439522203,0.0,2.635704144422177
41.52429638826338,2.6424105964174838,5.63114070892334,4,7.6529400330043496,4.463295892970799,1.9259370698312799,0.0013351726811379194,0.0,12.153486753720616,12.153486753720612,4,0.0,7.6529400330043496,50,4.463295892970799,-0.001938777044415474,200,0.0,12.71019165995594,12.153486753720616,0.0,36.670925420790184,0.0,200,1000000,6.952298285808745,0.0,0.0,12.71019165995594,50,4,-0.0006036043632775545,0.0,4,1.9259370698312799,6.952298285808745,12.153486753720612,4,0.0065809451043605804,36.670925420790184,41.52429638826338,0.0,2.6424105964174838
28.06511623431277,3.5928524675686493,5.655697345733643,5,6.427978438477713,4.454842393756655,2.0229682413800085,0.001204175059683621,0.0,11.945386314465654,11.945386314465654,5,0.0,6.427978438477713,50,4.454842393756655,0.0008935012156143785,200,0.0,12.587704469841485,11.945386314465654,0.0,42.49376987565379,0.0,200,1200000,7.1786816070249575,0.0,0.0,12.587704469841485,50,5,0.0020976762752979994,0.0,5,2.0229682413800085,7.1786816070249575,11.945386314465654,5,0.006506141275167465,42.49376987565379,28.06511623431277,0.0,3.5928524675686493
36.6504776508756,1.8813371567455424,5.600594520568848,6,7.692889116651142,4.489082734642178,1.5188359075677367,0.001961088739335537,0.0,14.246850392200638,14.246850392200638,6,0.0,7.692889116651142,50,4.489082734642178,-0.007212369702756405,200,0.0,13.287017721236989,14.246850392200638,0.0,40.146121894969376,0.0,200,1400000,6.978201390164692,0.0,0.0,13.287017721236989,50,6,-0.005251280963420868,0.0,6,1.5188359075677367,6.978201390164692,14.246850392200638,6,0.006606558803468943,40.146121894969376,36.6504776508756,0.0,1.8813371567455424
38.86639871084559,4.115161204631793,5.575413227081299,7,7.901785676426541,4.793873059048679,3.093944680993207,0.0011658803559839725,0.0,14.458164355892588,14.45816435589259,7,0.0,7.901785676426541,50,4.793873059048679,-0.0029633757658302784,200,0.0,13.474403847844169,14.458164355892588,0.0,41.69038488949868,0.0,200,1600000,7.583643972871979,0.0,0.0,13.474403847844169,50,7,-0.0017974954098463058,0.0,7,3.093944680993207,7.583643972871979,14.45816435589259,7,0.009942199103534222,41.69038488949868,38.86639871084559,0.0,4.115161204631793
38.70098166732365,2.754385589710794,5.60634183883667,8,6.679057563764345,4.889968201635224,2.3652833722152558,0.0010759527795016766,0.0,13.135776506439163,13.135776506439163,8,0.0,6.679057563764345,50,4.889968201635224,0.0017249751836061478,200,0.0,14.332140276986488,13.135776506439163,0.0,42.673467771573975,0.0,200,1800000,7.9881099583978195,0.0,0.0,14.332140276986488,50,8,0.0028009279631078243,0.0,8,2.3652833722152558,7.9881099583978195,13.135776506439163,8,0.006627219263464212,42.673467771573975,38.70098166732365,0.0,2.754385589710794
36.80742598029375,4.108333442618274,5.611584186553955,9,8.02843115007857,4.770131967726757,2.254930304355285,0.0022154756588861346,0.0,15.82221591084825,15.82221591084825,9,0.0,8.02843115007857,50,4.770131967726757,-0.0017262756591662765,200,0.0,14.68412941691327,15.82221591084825,0.0,42.85749460657387,0.0,200,2000000,8.301302359892457,0.0,0.0,14.68412941691327,50,9,0.0004891999997198582,0.0,9,2.254930304355285,8.301302359892457,15.82221591084825,9,0.009759526699781418,42.85749460657387,36.80742598029375,0.0,4.108333442618274
