MetaTest/basketball-v2/SuccessRate,MetaTest/Average/TerminationRate,TotalEnvSteps,MetaTest/Average/SuccessRate,MetaTest/Average/StdReturn,MetaTest/basketball-v2/AverageDiscountedReturn,MetaTest/Average/MaxReturn,MetaTest/basketball-v2/NumEpisodes,MetaTest/basketball-v2/TerminationRate,MetaTest/Average/NumEpisodes,MetaTest/basketball-v2/MinReturn,MetaTest/basketball-v2/AverageReturn,MetaTest/Average/Iteration,MetaTest/basketball-v2/StdReturn,MetaTest/Average/AverageReturn,MetaTest/Average/AverageDiscountedReturn,MetaTest/basketball-v2/MaxReturn,MetaTest/Average/MinReturn,MetaTest/basketball-v2/Iteration
0.0,0.0,300000,0.0,3.981287591984125,6.868049531558806,18.43794361655913,10,0.0,10,4.023426154903668,6.868049531558805,0,3.981287591984125,6.868049531558805,6.868049531558806,18.43794361655913,4.023426154903668,0
0.0,0.0,375000,0.0,5.794473976584517,8.692350672262119,19.100440789747285,10,0.0,10,1.6070691638600758,8.69235067226212,1,5.794473976584517,8.69235067226212,8.692350672262119,19.100440789747285,1.6070691638600758,1
0.0,0.0,450000,0.0,4.396444029997539,17.402631257725037,25.967125590266228,10,0.0,10,11.00230340281296,17.40263125772504,2,4.396444029997539,17.40263125772504,17.402631257725037,25.967125590266228,11.00230340281296,2
0.0,0.0,525000,0.0,6.7982319871524854,7.737958271228929,25.52567223772477,10,0.0,10,1.9818638999475553,7.737958271228931,3,6.7982319871524854,7.737958271228931,7.737958271228929,25.52567223772477,1.9818638999475553,3
0.0,0.0,600000,0.0,5.971770612443775,10.483053722102099,19.33532243436675,10,0.0,10,2.2319139087973996,10.483053722102099,4,5.971770612443775,10.483053722102099,10.483053722102099,19.33532243436675,2.2319139087973996,4
0.0,0.0,675000,0.0,4.632984292096046,14.983253683576852,20.940313453218376,10,0.0,10,6.214547964804425,14.983253683576852,5,4.632984292096046,14.983253683576852,14.983253683576852,20.940313453218376,6.214547964804425,5
0.0,0.0,750000,0.0,4.636201457020609,9.803291189667966,18.53804412359394,10,0.0,10,4.583097868687897,9.803291189667965,6,4.636201457020609,9.803291189667965,9.803291189667966,18.53804412359394,4.583097868687897,6
0.0,0.0,825000,0.0,4.664557058541329,7.165392625892467,18.68668399608447,10,0.0,10,2.0648682992530722,7.165392625892467,7,4.664557058541329,7.165392625892467,7.165392625892467,18.68668399608447,2.0648682992530722,7
0.0,0.0,900000,0.0,4.505453138834361,11.436422689291128,20.317208640373337,10,0.0,10,4.770585502042165,11.436422689291131,8,4.505453138834361,11.436422689291131,11.436422689291128,20.317208640373337,4.770585502042165,8
0.0,0.0,975000,0.0,5.069834546625408,11.032881059422243,20.806531053529003,10,0.0,10,5.375677622207583,11.032881059422248,9,5.069834546625408,11.032881059422248,11.032881059422243,20.806531053529003,5.375677622207583,9
