GaussianMLPPolicy/dLoss,basketball-v2/SuccessRate,MetaTest/Average/SuccessRate,Average/MinReturn,basketball-v2/TerminationRate,MetaTest/basketball-v2/SuccessRate,MetaTest/Average/MinReturn,Average/AverageDiscountedReturn,GaussianMLPPolicy/KLBefore,Average/AverageReturn,MetaTest/Average/Iteration,MetaTest/Average/MaxReturn,basketball-v2/MaxReturn,MetaTest/Average/TerminationRate,Average/StdReturn,Average/MaxReturn,Average/Iteration,MetaTest/basketball-v2/Iteration,MetaTest/basketball-v2/NumEpisodes,GaussianMLPPolicy/LossBefore,Iteration,GaussianMLPPolicy/Entropy,MetaTest/Average/AverageDiscountedReturn,basketball-v2/Iteration,MetaTest/basketball-v2/TerminationRate,MetaTest/Average/StdReturn,TotalEnvSteps,MetaTest/basketball-v2/AverageDiscountedReturn,Average/NumEpisodes,basketball-v2/NumEpisodes,MetaTest/basketball-v2/AverageReturn,MetaTest/basketball-v2/MaxReturn,basketball-v2/AverageReturn,Average/TerminationRate,GaussianMLPPolicy/KLAfter,MetaTest/Average/NumEpisodes,MetaTest/basketball-v2/StdReturn,basketball-v2/AverageDiscountedReturn,MetaTest/basketball-v2/MinReturn,GaussianMLPPolicy/LossAfter,basketball-v2/StdReturn,Average/SuccessRate,MetaTest/Average/AverageReturn,basketball-v2/MinReturn
0.002704847836866975,0.0,0.0,0.6032545343696687,0.0,0.0,0.9953753587173285,4.968542419537128,0.0,5.902203635336605,0,34.562740879167706,26.82745916140927,0.0,4.181269142635873,26.82745916140927,0,0,50,-0.00027296156622469425,0,5.675294399261475,6.077730884636857,0,0.0,4.966023918897847,200000,6.077730884636857,200,200,6.077730884636855,34.562740879167706,5.902203635336605,0.0,0.006590082310140133,50,4.966023918897847,4.968542419537128,0.9953753587173285,-0.002977809403091669,4.181269142635873,0.0,6.077730884636855,0.6032545343696687
0.001622200245037675,0.0,0.0,1.1003639823633942,0.0,0.0,1.1263800667708603,5.463874911188162,0.0,6.432089014292874,1,23.87138214878142,62.46066103235149,0.0,5.87812999777828,62.46066103235149,1,1,50,0.0020218773279339075,1,5.697442054748535,6.470253925602934,1,0.0,3.399176608379211,400000,6.470253925602934,200,200,6.470253925602935,23.87138214878142,6.432089014292874,0.0,0.0064141652546823025,50,3.399176608379211,5.463874911188162,1.1263800667708603,0.0003996770828962326,5.87812999777828,0.0,6.470253925602935,1.1003639823633942
0.0015306560089811683,0.0,0.0,0.5997002480658914,0.0,0.0,1.4710802627294368,6.067329725336772,0.0,7.001714862529923,2,19.38351304437551,42.797339805737764,0.0,4.849625999075826,42.797339805737764,2,2,50,-0.001403477624990046,2,5.683030128479004,7.735037117694488,2,0.0,4.193196665175953,600000,7.735037117694488,200,200,7.73503711769449,19.38351304437551,7.001714862529923,0.0,0.006649365182965994,50,4.193196665175953,6.067329725336772,1.4710802627294368,-0.0029341336339712143,4.849625999075826,0.0,7.73503711769449,0.5997002480658914
0.0007047574035823345,0.0,0.0,0.407511301281088,0.0,0.0,2.694203521727422,7.762244793379064,0.0,8.901671194993265,3,63.662620332800635,68.40387040435084,0.0,7.0466895903632825,68.40387040435084,3,3,50,-0.0014217880088835955,3,5.66282320022583,12.751526991522844,3,0.0,10.500214357441804,800000,12.751526991522844,200,200,12.751526991522846,63.662620332800635,8.901671194993265,0.0,0.0065709552727639675,50,10.500214357441804,7.762244793379064,2.694203521727422,-0.00212654541246593,7.0466895903632825,0.0,12.751526991522846,0.407511301281088
0.0004824104253202677,0.0,0.0,3.015727466220594,0.0,0.0,2.6644039849711487,10.08863686982534,0.0,11.613764992273342,4,44.60316424157439,92.4298533008489,0.0,8.609425406506634,92.4298533008489,4,4,50,-0.0023023502435535192,4,5.615365028381348,10.87910059718621,4,0.0,7.439523764654044,1000000,10.87910059718621,200,200,10.87910059718621,44.60316424157439,11.613764992273342,0.0,0.006611508782953024,50,7.439523764654044,10.08863686982534,2.6644039849711487,-0.002784760668873787,8.609425406506634,0.0,10.87910059718621,3.015727466220594
0.0004953286988893524,0.0,0.0,2.568957666343411,0.0,0.0,3.055442030876066,11.527125632142228,0.0,13.351326632578253,5,34.001733798178904,47.47005695229993,0.0,8.804315146049362,47.47005695229993,5,5,50,0.00030333836912177503,5,5.620055675506592,11.045172946822442,5,0.0,5.884100974367762,1200000,11.045172946822442,200,200,11.045172946822445,34.001733798178904,13.351326632578253,0.0,0.006805757991969585,50,5.884100974367762,11.527125632142228,3.055442030876066,-0.00019199032976757735,8.804315146049362,0.0,11.045172946822445,2.568957666343411
0.0010784576006699353,0.0,0.0,2.385007286173472,0.0,0.0,0.6490028380279401,12.30816277907778,0.0,14.714961955565196,6,40.407486344824044,485.49847624984477,0.0,34.79812857291876,485.49847624984477,6,6,50,0.0004402537306305021,6,5.631984233856201,12.40868929446565,6,0.0,8.18854898955819,1400000,12.40868929446565,200,200,12.408689294465649,40.407486344824044,14.714961955565196,0.0,0.009518565610051155,50,8.18854898955819,12.30816277907778,0.6490028380279401,-0.0006382038700394332,34.79812857291876,0.0,12.408689294465649,2.385007286173472
0.0005690902471542358,0.0,0.0,2.0552685310628562,0.0,0.0,2.231732338372,11.977793231564197,0.0,14.002720618228969,7,21.201161100494872,77.0303537961737,0.0,9.482534644547378,77.0303537961737,7,7,50,0.0016644366551190615,7,5.693795204162598,10.789225279575247,7,0.0,5.665612943736625,1600000,10.789225279575247,200,200,10.789225279575247,21.201161100494872,14.002720618228969,0.0,0.00950898788869381,50,5.665612943736625,11.977793231564197,2.231732338372,0.0010953464079648256,9.482534644547378,0.0,10.789225279575247,2.0552685310628562
0.0006400761194527149,0.0,0.0,2.3694013293152505,0.0,0.0,2.088631512542567,12.28086969453116,0.0,14.418184128780839,8,27.03984410000217,49.323193160605356,0.0,9.033015666527813,49.323193160605356,8,8,50,-0.0008448698790743947,8,5.669339179992676,13.281475684039904,8,0.0,7.28738166696443,1800000,13.281475684039904,200,200,13.2814756840399,27.03984410000217,14.418184128780839,0.0,0.006512167863547802,50,7.28738166696443,12.28086969453116,2.088631512542567,-0.0014849459985271096,9.033015666527813,0.0,13.2814756840399,2.3694013293152505
0.000780620495788753,0.0,0.0,2.0666196031780855,0.0,0.0,3.8394080184765067,11.887434904632677,0.0,14.01279897660762,9,40.50728941406971,42.70345951481926,0.0,8.307078169612149,42.70345951481926,9,9,50,-0.0008878282969817519,9,5.6453022956848145,15.96424708010443,9,0.0,8.833083788226617,2000000,15.96424708010443,200,200,15.964247080104427,40.50728941406971,14.01279897660762,0.0,0.006406749598681927,50,8.833083788226617,11.887434904632677,3.8394080184765067,-0.001668448792770505,8.307078169612149,0.0,15.964247080104427,2.0666196031780855
