Average/NumEpisodes,TotalEnvSteps,Iteration,basketball-v2/NumEpisodes,Average/TerminationRate,MetaTest/basketball-v2/AverageReturn,GaussianMLPPolicy/Entropy,basketball-v2/AverageDiscountedReturn,basketball-v2/SuccessRate,Average/StdReturn,MetaTest/basketball-v2/NumEpisodes,MetaTest/basketball-v2/MinReturn,GaussianMLPPolicy/dLoss,MetaTest/basketball-v2/SuccessRate,MetaTest/Average/StdReturn,Average/MinReturn,Average/AverageReturn,GaussianMLPPolicy/KLAfter,basketball-v2/MaxReturn,MetaTest/Average/NumEpisodes,MetaTest/basketball-v2/MaxReturn,basketball-v2/TerminationRate,GaussianMLPPolicy/LossBefore,MetaTest/basketball-v2/TerminationRate,basketball-v2/Iteration,basketball-v2/MinReturn,GaussianMLPPolicy/KLBefore,MetaTest/Average/SuccessRate,Average/Iteration,MetaTest/Average/Iteration,MetaTest/Average/TerminationRate,MetaTest/Average/AverageDiscountedReturn,basketball-v2/StdReturn,Average/MaxReturn,MetaTest/Average/AverageReturn,basketball-v2/AverageReturn,MetaTest/basketball-v2/Iteration,GaussianMLPPolicy/LossAfter,MetaTest/Average/MinReturn,MetaTest/basketball-v2/StdReturn,Average/AverageDiscountedReturn,Average/SuccessRate,MetaTest/basketball-v2/AverageDiscountedReturn,MetaTest/Average/MaxReturn
200,200000,0,200,0.0,6.627624127440361,5.685114860534668,0.5171083647684989,0.0,5.950123943867719,50,1.20922488901028,0.004997697193175554,0.0,4.960106579865056,0.6618266948501106,6.54003958846329,0.006582123227417469,57.445549128784336,50,35.809049434389685,0.0,0.0024280711077153683,0.0,0,0.6618266948501106,0.0,0.0,0,0,0.0,6.627624127440361,5.950123943867719,57.445549128784336,6.627624127440361,6.54003958846329,0,-0.002569626085460186,1.20922488901028,4.960106579865056,0.5171083647684989,0.0,6.627624127440361,35.809049434389685
200,400000,1,200,0.0,6.050911358329672,5.677096843719482,0.5665148026324744,0.0,7.014968180080898,50,1.295012836596728,0.007173147052526474,0.0,4.7009696181093865,0.9480116865632732,6.426117239976345,0.006485081277787685,84.70900222737961,50,23.66631455836413,0.0,-0.0019881976768374443,0.0,1,0.9480116865632732,0.0,0.0,1,1,0.0,6.050911358329674,7.014968180080898,84.70900222737961,6.050911358329672,6.426117239976345,1,-0.009161344729363918,1.295012836596728,4.7009696181093865,0.5665148026324744,0.0,6.050911358329674,23.66631455836413
200,600000,2,200,0.0,10.16722584320261,5.686007499694824,0.5432777053018059,0.0,5.954929947965419,50,1.952766562135491,0.007434599567204714,0.0,18.338454912687673,1.1264424581835546,6.873500449991595,0.006439422257244587,38.41307882796756,50,133.4711998921657,0.0,0.0024025551974773407,0.0,2,1.1264424581835546,0.0,0.0,2,2,0.0,10.167225843202608,5.954929947965419,38.41307882796756,10.16722584320261,6.873500449991595,2,-0.005032044369727373,1.952766562135491,18.338454912687673,0.5432777053018059,0.0,10.167225843202608,133.4711998921657
200,800000,3,200,0.0,7.223702226952644,5.6855268478393555,0.6935181554075459,0.0,6.10452345933007,50,1.952306973103498,0.01280742569360882,0.0,5.667598036887094,1.0807446883374854,7.147597287683261,0.009654934518039227,49.43389935425414,50,29.230458906021745,0.0,0.0007397193694487214,0.0,3,1.0807446883374854,0.0,0.0,3,3,0.0,7.223702226952643,6.10452345933007,49.43389935425414,7.223702226952644,7.147597287683261,3,-0.012067706324160099,1.952306973103498,5.667598036887094,0.6935181554075459,0.0,7.223702226952643,29.230458906021745
200,1000000,4,200,0.0,6.8268238520844555,5.6652750968933105,0.7381478637094585,0.0,5.97944363600635,50,2.302482514360851,0.007338588824495673,0.0,5.188178563994069,1.2624248642571425,7.271326481761218,0.006782635115087032,34.09126967263789,50,23.33639957883724,0.0,-0.0020966774318367243,0.0,4,1.2624248642571425,0.0,0.0,4,4,0.0,6.826823852084458,5.97944363600635,34.09126967263789,6.8268238520844555,7.271326481761218,4,-0.009435266256332397,2.302482514360851,5.188178563994069,0.7381478637094585,0.0,6.826823852084458,23.33639957883724
200,1200000,5,200,0.0,5.021209488031514,5.657305717468262,0.7677385893544636,0.0,4.992347361635578,50,1.589720019064056,0.009400939103215933,0.0,3.7093604484498472,1.4020957680213275,6.504027994718387,0.006427417509257793,34.42307361908894,50,18.84103451216623,0.0,-0.0071551562286913395,0.0,5,1.4020957680213275,0.0,0.0,5,5,0.0,5.021209488031513,4.992347361635578,34.42307361908894,5.021209488031514,6.504027994718387,5,-0.016556095331907272,1.589720019064056,3.7093604484498472,0.7677385893544636,0.0,5.021209488031513,18.84103451216623
200,1400000,6,200,0.0,5.276950802273237,5.672688007354736,0.7339242374485244,0.0,5.477111128536192,50,1.8142447963382338,0.008094711520243436,0.0,3.520415496239784,1.3242402665414459,6.572986541686393,0.006416601594537497,28.171454977129702,50,17.38848461047458,0.0,0.008796865120530128,0.0,6,1.3242402665414459,0.0,0.0,6,6,0.0,5.276950802273237,5.477111128536192,28.171454977129702,5.276950802273237,6.572986541686393,6,0.0007021536002866924,1.8142447963382338,3.520415496239784,0.7339242374485244,0.0,5.276950802273237,17.38848461047458
200,1600000,7,200,0.0,4.419591128787784,5.676342487335205,0.7131580456640714,0.0,4.657424854243984,50,2.187464825335021,0.012629066419322044,0.0,3.7650023846621763,1.8434383617421388,5.8232053631860206,0.006735770497471094,30.351093167933907,50,21.76014565375301,0.0,-0.0005185726913623512,0.0,7,1.8434383617421388,0.0,0.0,7,7,0.0,4.419591128787783,4.657424854243984,30.351093167933907,4.419591128787784,5.8232053631860206,7,-0.013147639110684395,2.187464825335021,3.7650023846621763,0.7131580456640714,0.0,4.419591128787783,21.76014565375301
200,1800000,8,200,0.0,4.223276972584698,5.681471824645996,0.7146890523400171,0.0,3.2961635043579474,50,1.6855579889398806,0.01054798811674118,0.0,2.511803686720465,1.5667372179115295,4.955612856711147,0.006693149451166391,18.085293712585596,50,14.663417131849481,0.0,0.0022923778742551804,0.0,8,1.5667372179115295,0.0,0.0,8,8,0.0,4.223276972584698,3.2961635043579474,18.085293712585596,4.223276972584698,4.955612856711147,8,-0.008255610242486,1.6855579889398806,2.511803686720465,0.7146890523400171,0.0,4.223276972584698,14.663417131849481
200,2000000,9,200,0.0,5.24322357335186,5.6745381355285645,0.6579037026453445,0.0,3.7417720727679114,50,1.6943080012294012,0.016301087860483676,0.0,3.707195259208203,1.3640566172903648,4.774451666524527,0.006779214832931757,27.49170197671586,50,23.106943507096805,0.0,-0.000815589155536145,0.0,9,1.3640566172903648,0.0,0.0,9,9,0.0,5.24322357335186,3.7417720727679114,27.49170197671586,5.24322357335186,4.774451666524527,9,-0.01711667701601982,1.6943080012294012,3.707195259208203,0.6579037026453445,0.0,5.24322357335186,23.106943507096805
