basketball-v2/AverageReturn,MetaTest/Average/AverageDiscountedReturn,MetaTest/basketball-v2/MaxReturn,MetaTest/Average/NumEpisodes,GaussianMLPPolicy/KLBefore,basketball-v2/NumEpisodes,Average/NumEpisodes,GaussianMLPPolicy/LossBefore,MetaTest/Average/StdReturn,Average/StdReturn,basketball-v2/SuccessRate,Average/Iteration,MetaTest/basketball-v2/SuccessRate,TotalEnvSteps,Average/SuccessRate,Average/MaxReturn,Average/AverageReturn,GaussianMLPPolicy/Entropy,basketball-v2/StdReturn,MetaTest/Average/TerminationRate,basketball-v2/TerminationRate,GaussianMLPPolicy/LossAfter,MetaTest/basketball-v2/AverageReturn,MetaTest/Average/MinReturn,MetaTest/basketball-v2/Iteration,MetaTest/basketball-v2/TerminationRate,MetaTest/basketball-v2/MinReturn,MetaTest/basketball-v2/AverageDiscountedReturn,basketball-v2/MinReturn,Average/TerminationRate,Average/AverageDiscountedReturn,MetaTest/basketball-v2/NumEpisodes,MetaTest/Average/Iteration,basketball-v2/AverageDiscountedReturn,GaussianMLPPolicy/dLoss,basketball-v2/Iteration,basketball-v2/MaxReturn,MetaTest/Average/SuccessRate,MetaTest/basketball-v2/StdReturn,Iteration,GaussianMLPPolicy/KLAfter,Average/MinReturn,MetaTest/Average/MaxReturn,MetaTest/Average/AverageReturn
6.71167677619621,10.670742304080584,98.3881829444517,50,0.0,200,200,0.00242365850135684,14.583844988298022,4.940790391558294,0.0,0,0.0,200000,0.0,27.869079127866474,6.71167677619621,5.691235065460205,4.940790391558294,0.0,0.0,-0.0007453827420249581,10.670742304080584,1.6213760219170654,0,0.0,1.6213760219170654,10.670742304080584,0.30511463743989553,0.0,2.3314775766940787,50,0,2.3314775766940787,0.0031690412433817983,0,27.869079127866474,0.0,14.583844988298022,0,0.009929785504937172,0.30511463743989553,98.3881829444517,10.670742304080584
9.716838050351436,10.693579379725104,31.764948042107243,50,0.0,200,200,-0.0006348902243189514,5.963243708962602,8.150272951339575,0.0,1,0.0,400000,0.0,92.3901315128183,9.716838050351436,5.687160015106201,8.150272951339575,0.0,0.0,-0.0014746829401701689,10.6935793797251,1.3156630592005174,1,0.0,1.3156630592005174,10.693579379725104,1.0648920264637711,0.0,3.7670421526742746,50,1,3.7670421526742746,0.0008397927158512175,1,92.3901315128183,0.0,5.963243708962602,1,0.006567483302205801,1.0648920264637711,31.764948042107243,10.6935793797251
10.853599232924658,11.033807340742447,36.33450621137259,50,0.0,200,200,-0.0012872014194726944,7.083011099756823,7.441661721247741,0.0,2,0.0,600000,0.0,69.56675399614772,10.853599232924658,5.6754841804504395,7.441661721247741,0.0,0.0,-0.0030999414157122374,11.033807340742447,2.660750554667039,2,0.0,2.660750554667039,11.033807340742447,0.859709907164203,0.0,3.98131038161182,50,2,3.98131038161182,0.001812739996239543,2,69.56675399614772,0.0,7.083011099756823,2,0.009787424467504025,0.859709907164203,36.33450621137259,11.033807340742447
9.750642017824832,11.631530121346033,23.642938922860967,50,0.0,200,200,0.002510863123461604,5.565308778495013,5.9621677675486096,0.0,3,0.0,800000,0.0,45.275896922569665,9.750642017824832,5.6947855949401855,5.9621677675486096,0.0,0.0,0.0024150004610419273,11.631530121346037,2.526552749956819,3,0.0,2.526552749956819,11.631530121346033,1.7703514971183376,0.0,3.9532392085970622,50,3,3.9532392085970622,9.586266241967678e-05,3,45.275896922569665,0.0,5.565308778495013,3,0.004059955477714539,1.7703514971183376,23.642938922860967,11.631530121346037
13.908989916889546,14.556370225092635,28.882552876599874,50,0.0,200,200,0.0009742408874444664,7.096648559977653,6.704817903357083,0.0,4,0.0,1000000,0.0,33.61703220660223,13.908989916889546,5.7109904289245605,6.704817903357083,0.0,0.0,-0.0014233452966436744,14.556370225092635,2.623669841335146,4,0.0,2.623669841335146,14.556370225092635,3.2865876216511376,0.0,4.830306388145566,50,4,4.830306388145566,0.0023975861840881407,4,33.61703220660223,0.0,7.096648559977653,4,0.009808494709432125,3.2865876216511376,28.882552876599874,14.556370225092635
14.748617070401478,11.273339605614321,27.05660380045703,50,0.0,200,200,0.0031814086250960827,6.091379042885206,7.343810165018695,0.0,5,0.0,1200000,0.0,37.02434606567948,14.748617070401478,5.739470481872559,7.343810165018695,0.0,0.0,0.0025582367088645697,11.27333960561432,1.313687525528841,5,0.0,1.313687525528841,11.273339605614321,2.7458221039950894,0.0,4.876782149506161,50,5,4.876782149506161,0.000623171916231513,5,37.02434606567948,0.0,6.091379042885206,5,0.0064699165523052216,2.7458221039950894,27.05660380045703,11.27333960561432
11.77102234048456,14.633404453296528,31.002634282658565,50,0.0,200,200,0.003924418240785599,7.66697769819425,6.640670074574627,0.0,6,0.0,1400000,0.0,39.33844542339956,11.77102234048456,5.776862621307373,6.640670074574627,0.0,0.0,0.002526631113141775,14.633404453296526,2.872274598448956,6,0.0,2.872274598448956,14.633404453296528,2.3390529706324896,0.0,4.233447954900613,50,6,4.233447954900613,0.0013977871276438236,6,39.33844542339956,0.0,7.66697769819425,6,0.006486224941909313,2.3390529706324896,31.002634282658565,14.633404453296526
14.644561450491185,16.385461990106823,39.01399037120799,50,0.0,200,200,0.002896873513236642,7.500861432454013,7.751281542693808,0.0,7,0.0,1600000,0.0,36.87031328662264,14.644561450491185,5.81181001663208,7.751281542693808,0.0,0.0,0.00012677322956733406,16.385461990106823,2.3889862954199153,7,0.0,2.3889862954199153,16.385461990106823,2.403785969854641,0.0,4.6382613639479535,50,7,4.6382613639479535,0.002770100283669308,7,36.87031328662264,0.0,7.500861432454013,7,0.009899313561618328,2.403785969854641,39.01399037120799,16.385461990106823
15.15738559173622,16.061809044022105,35.862977218863364,50,0.0,200,200,-0.0002259161847177893,6.960099342494979,7.794250579920525,0.0,8,0.0,1800000,0.0,32.93525149672691,15.15738559173622,5.810868263244629,7.794250579920525,0.0,0.0,-0.001653142273426056,16.061809044022105,5.640916706122203,8,0.0,5.640916706122203,16.061809044022105,3.060693736041157,0.0,4.842465627417484,50,8,4.842465627417484,0.0014272260887082666,8,32.93525149672691,0.0,6.960099342494979,8,0.006575778126716614,3.060693736041157,35.862977218863364,16.061809044022105
16.378790229472855,16.468957059262326,35.91419873582382,50,0.0,200,200,-0.0013309072237461805,7.585694687436617,7.2628088316113235,0.0,9,0.0,2000000,0.0,34.193953512304994,16.378790229472855,5.793304443359375,7.2628088316113235,0.0,0.0,-0.003212806535884738,16.46895705926233,3.8479133954377045,9,0.0,3.8479133954377045,16.468957059262326,2.750083391301039,0.0,4.952386884732963,50,9,4.952386884732963,0.0018818993121385574,9,34.193953512304994,0.0,7.585694687436617,9,0.006557109300047159,2.750083391301039,35.91419873582382,16.46895705926233
