Average/AverageReturn,TotalEnvSteps,Average/NumEpisodes,MetaTest/basketball-v2/AverageReturn,Average/TerminationRate,Iteration,GaussianMLPPolicy/KLAfter,Average/MinReturn,Average/AverageDiscountedReturn,MetaTest/Average/TerminationRate,basketball-v2/MinReturn,MetaTest/Average/StdReturn,Average/SuccessRate,MetaTest/Average/Iteration,MetaTest/basketball-v2/AverageDiscountedReturn,MetaTest/basketball-v2/SuccessRate,basketball-v2/StdReturn,MetaTest/Average/SuccessRate,basketball-v2/MaxReturn,MetaTest/Average/MinReturn,MetaTest/basketball-v2/Iteration,MetaTest/basketball-v2/NumEpisodes,GaussianMLPPolicy/Entropy,basketball-v2/Iteration,Average/Iteration,GaussianMLPPolicy/LossAfter,MetaTest/basketball-v2/TerminationRate,basketball-v2/AverageDiscountedReturn,GaussianMLPPolicy/LossBefore,MetaTest/basketball-v2/MinReturn,GaussianMLPPolicy/dLoss,MetaTest/basketball-v2/StdReturn,basketball-v2/SuccessRate,Average/StdReturn,basketball-v2/TerminationRate,MetaTest/Average/AverageDiscountedReturn,GaussianMLPPolicy/KLBefore,basketball-v2/NumEpisodes,MetaTest/basketball-v2/MaxReturn,basketball-v2/AverageReturn,MetaTest/Average/NumEpisodes,MetaTest/Average/MaxReturn,Average/MaxReturn,MetaTest/Average/AverageReturn
5.378735680563149,200000,200,8.088974939060853,0.0,0,0.006400921382009983,0.3867371458546579,1.7827620980595449,0.0,0.3867371458546579,6.204403302952388,0.0,0,8.088974939060853,0.0,3.4681845069575656,0.0,24.028334974395225,1.6938225077446603,0,50,5.688789367675781,0,0,-0.0018499527359381318,0.0,1.7827620980595449,0.0028710279148072004,1.6938225077446603,0.004720980650745332,6.204403302952388,0.0,3.4681845069575656,0.0,8.088974939060853,0.0,200,34.86218748902272,5.378735680563149,50,34.86218748902272,24.028334974395225,8.088974939060853
6.722693594628463,400000,200,11.01338271721625,0.0,1,0.00670204684138298,0.8117294736996935,2.6864489224974673,0.0,0.8117294736996935,5.406776640296252,0.0,1,11.013382717216253,0.0,7.352856679908355,0.0,91.87166172400528,2.205636071679456,1,50,5.680644512176514,1,1,-0.0033080563880503178,0.0,2.6864489224974673,-0.0016528383130207658,2.205636071679456,0.001655218075029552,5.406776640296252,0.0,7.352856679908355,0.0,11.013382717216253,0.0,200,34.43527172190768,6.722693594628463,50,34.43527172190768,91.87166172400528,11.01338271721625
10.589547486952185,600000,200,11.429866949248492,0.0,2,0.006368147674947977,1.3590946782544833,3.8813935534803035,0.0,1.3590946782544833,6.015263992998268,0.0,2,11.429866949248494,0.0,9.155861802752689,0.0,106.42339545548339,2.855398504366775,2,50,5.680346965789795,2,2,-3.754720091819763e-05,0.0,3.8813935534803035,0.00011701229959726334,2.855398504366775,0.00015455950051546097,6.015263992998268,0.0,9.155861802752689,0.0,11.429866949248494,0.0,200,28.45476232276064,10.589547486952185,50,28.45476232276064,106.42339545548339,11.429866949248492
12.301143997777324,800000,200,13.435900963199938,0.0,3,0.00976781826466322,2.4441351101112265,4.344272904334895,0.0,2.4441351101112265,7.154208168417117,0.0,3,13.435900963199938,0.0,7.032179926143515,0.0,36.973072198509755,1.687351260984724,3,50,5.703776836395264,3,3,-0.0011295770527794957,0.0,4.344272904334895,-0.00014000479131937027,1.687351260984724,0.0009895722614601254,7.154208168417117,0.0,7.032179926143515,0.0,13.435900963199938,0.0,200,27.37844021568787,12.301143997777324,50,27.37844021568787,36.973072198509755,13.435900963199938
13.209651532706289,1000000,200,11.853071410133582,0.0,4,0.006418280303478241,1.9108472553476528,4.602330336974649,0.0,1.9108472553476528,6.839590634720554,0.0,4,11.853071410133582,0.0,7.4464402432295245,0.0,37.41064438222997,3.3614021323693364,4,50,5.664665699005127,4,4,-0.005508980248123407,0.0,4.602330336974649,-0.004374212585389614,3.3614021323693364,0.0011347676627337933,6.839590634720554,0.0,7.4464402432295245,0.0,11.853071410133582,0.0,200,32.43203865173726,13.209651532706289,50,32.43203865173726,37.41064438222997,11.853071410133582
13.776159966708615,1200000,200,12.342346964036976,0.0,5,0.0064857639372348785,1.913288819760391,4.6697426167389615,0.0,1.913288819760391,5.874661438661979,0.0,5,12.34234696403698,0.0,7.366425458175279,0.0,42.222802154143444,3.9784020345173756,5,50,5.656734466552734,5,5,-0.0023132488131523132,0.0,4.6697426167389615,-0.0007775217527523637,3.9784020345173756,0.0015357270603999496,5.874661438661979,0.0,7.366425458175279,0.0,12.34234696403698,0.0,200,29.56349186844732,13.776159966708615,50,29.56349186844732,42.222802154143444,12.342346964036976
13.6391601245732,1400000,200,15.422234449301715,0.0,6,0.006447166204452515,2.3810997104392366,4.59438129138671,0.0,2.3810997104392366,7.531533104846438,0.0,6,15.422234449301714,0.0,6.825575254636618,0.0,35.96993662048805,2.5520011536891083,6,50,5.641824245452881,6,6,-0.00276779942214489,0.0,4.59438129138671,-0.0010198196396231651,2.5520011536891083,0.0017479797825217247,7.531533104846438,0.0,6.825575254636618,0.0,15.422234449301714,0.0,200,38.025978369548,13.6391601245732,50,38.025978369548,35.96993662048805,15.422234449301715
14.080393822735628,1600000,200,14.153872716280894,0.0,7,0.006592386402189732,2.901080604595371,4.580853974382727,0.0,2.901080604595371,7.01910042670989,0.0,7,14.153872716280894,0.0,7.232961042712592,0.0,35.92951207214974,3.8012872574455527,7,50,5.651784420013428,7,7,-0.0005377143388614058,0.0,4.580853974382727,0.0009407304460182786,3.8012872574455527,0.0014784447848796844,7.01910042670989,0.0,7.232961042712592,0.0,14.153872716280894,0.0,200,32.08621925389596,14.080393822735628,50,32.08621925389596,35.92951207214974,14.153872716280894
16.249381944376196,1800000,200,13.129210413406074,0.0,8,0.009787535294890404,1.6895832848394001,4.904308594240606,0.0,1.6895832848394001,7.4592509160617375,0.0,8,13.129210413406073,0.0,7.836602352022246,0.0,47.8505575947703,1.9327364985758193,8,50,5.692593097686768,8,8,0.00233737425878644,0.0,4.904308594240606,0.003337899222970009,1.9327364985758193,0.001000524964183569,7.4592509160617375,0.0,7.836602352022246,0.0,13.129210413406073,0.0,200,34.1305932243587,16.249381944376196,50,34.1305932243587,47.8505575947703,13.129210413406074
13.721016071171213,2000000,200,16.95670859913827,0.0,9,0.006469561718404293,2.0899163911532948,4.358646457350473,0.0,2.0899163911532948,7.969214256326693,0.0,9,16.956708599138263,0.0,7.003986132851568,0.0,31.514458413308883,4.185912489773622,9,50,5.717609405517578,9,9,0.0025928604882210493,0.0,4.358646457350473,0.00305677717551589,4.185912489773622,0.0004639166872948408,7.969214256326693,0.0,7.003986132851568,0.0,16.956708599138263,0.0,200,38.68713227711608,13.721016071171213,50,38.68713227711608,31.514458413308883,16.95670859913827
