MetaTest/sweep-into-v2/NumEpisodes,MetaTest/Average/TerminationRate,MetaTest/drawer-open-v2/TerminationRate,MetaTest/drawer-open-v2/MinReturn,MetaTest/drawer-open-v2/Iteration,MetaTest/door-close-v2/AverageDiscountedReturn,MetaTest/sweep-into-v2/Iteration,MetaTest/shelf-place-v2/Iteration,MetaTest/Average/SuccessRate,MetaTest/drawer-open-v2/SuccessRate,MetaTest/lever-pull-v2/TerminationRate,MetaTest/lever-pull-v2/SuccessRate,MetaTest/Average/MaxReturn,TotalEnvSteps,MetaTest/drawer-open-v2/AverageDiscountedReturn,MetaTest/shelf-place-v2/NumEpisodes,MetaTest/lever-pull-v2/NumEpisodes,MetaTest/shelf-place-v2/SuccessRate,MetaTest/lever-pull-v2/AverageReturn,MetaTest/shelf-place-v2/StdReturn,MetaTest/Average/MinReturn,TrainSteps,MetaTest/lever-pull-v2/MinReturn,MetaTest/door-close-v2/NumEpisodes,MetaTest/sweep-into-v2/AverageDiscountedReturn,MetaTest/door-close-v2/StdReturn,MetaTest/door-close-v2/TerminationRate,MetaTest/sweep-into-v2/MinReturn,MetaTest/shelf-place-v2/MaxReturn,MetaTest/lever-pull-v2/MaxReturn,MetaTest/door-close-v2/MinReturn,MetaTest/sweep-into-v2/SuccessRate,MetaTest/drawer-open-v2/AverageReturn,MetaTest/lever-pull-v2/AverageDiscountedReturn,MetaTest/Average/Iteration,MetaTest/drawer-open-v2/StdReturn,MetaTest/drawer-open-v2/NumEpisodes,MetaTest/sweep-into-v2/AverageReturn,MetaTest/shelf-place-v2/TerminationRate,MetaTest/sweep-into-v2/TerminationRate,MetaTest/lever-pull-v2/Iteration,MetaTest/Average/AverageReturn,MetaTest/door-close-v2/Iteration,MetaTest/shelf-place-v2/MinReturn,MetaTest/Average/NumEpisodes,MetaTest/lever-pull-v2/StdReturn,MetaTest/Average/StdReturn,MetaTest/door-close-v2/AverageReturn,MetaTest/sweep-into-v2/MaxReturn,MetaTest/shelf-place-v2/AverageReturn,MetaTest/sweep-into-v2/StdReturn,MetaTest/shelf-place-v2/AverageDiscountedReturn,MetaTest/Average/AverageDiscountedReturn,MetaTest/drawer-open-v2/MaxReturn,MetaTest/door-close-v2/SuccessRate,MetaTest/door-close-v2/MaxReturn
500,0.0,0.0,384.7868500543052,500,6.475805558608328,500,500,0.0284,0.0,0.0,0.0,3982.66040405023,2560000,122.02155562666009,500,500,0.0,169.5463905802532,0.0,0.0,500,74.13614514448085,500,52.77581719253366,3.9111864184811345,0.0,45.05249653922425,0.0,246.851900390335,31.872307793167447,0.142,621.560872055766,44.45036808866399,500,333.7922627856131,500,467.11617911722817,0.0,0.0,500,259.4858483553382,500,0.0,2500,44.86485742250997,582.4616779650963,39.205800023443295,3982.66040405023,0.0,1133.4498734786075,0.0,45.14470929329321,1900.2731938844136,0.0,46.66996310998773
501,0.0,0.0,360.45546299002854,1000,6.522640606870886,1000,1000,0.0,0.0,0.0,0.0,451.8449926990172,5120000,81.57038248869625,500,500,0.0,89.51537798596698,0.0,0.0,1000,35.24873056743978,500,21.168259300101965,3.821165131595024,0.0,19.182903443832643,0.0,136.65357683088402,32.25785992820162,0.0,379.3302155035148,33.53103887364481,1000,22.945448810936576,500,58.73138300894446,0.0,0.0,1000,113.35314993356317,1000,0.0,2501,28.89932820711869,137.87108314326662,39.29801670323896,196.83830143936314,0.0,32.66728751049162,0.0,28.555509353841288,451.8449926990172,0.0,46.79843674221341
500,0.0,0.0,361.376983450416,1500,6.785459265292587,1500,1500,0.0,0.0,0.0,0.0,427.641269789959,7680000,80.77929780630299,500,500,0.0,307.2492297587186,0.0,0.0,1500,152.1703239259547,500,17.87330712805277,3.852160789674567,0.0,11.157202539216028,0.0,427.641269789959,32.44617926148474,0.0,368.6105834829849,72.60619643844467,1500,6.770891115789472,501,75.06265886866562,0.0,0.0,1500,158.2132952609961,1500,0.0,2501,70.94644201276121,154.94835808209146,39.72320961816738,216.22288891255957,0.0,49.45881811744417,0.0,35.626913081508526,387.1327994109652,0.0,47.26077091358215
500,0.0,0.0,370.9803221647008,2000,3.745106632478551,2000,2000,0.0,0.0,0.0,0.0,410.24462456742924,10240000,86.69276811334954,500,500,0.0,245.65828361293504,0.0,0.0,2000,74.32668198929827,501,19.6842348679274,2.3951300711390875,0.0,26.185525964847482,0.0,374.1415189068844,14.641234077071612,0.0,378.2942474556186,51.57774688943192,2000,9.949355367462914,500,83.06697154007637,0.0,0.0,2000,145.0335054929737,2000,0.0,2501,92.81531178531398,154.33509588070214,18.401289288647195,295.5232478112245,0.0,70.33171031071076,0.0,32.32853792811923,410.24462456742924,0.0,24.014371525173882
500,0.0,0.0,364.8184317368537,2500,6.308635127461877,2500,2500,0.0,0.0,0.0,0.0,419.5375851851741,12800000,82.1087660335449,501,500,0.0,292.4135642828167,0.0,0.0,2500,116.02226052378751,500,24.194332624573494,3.6507081431747186,0.0,18.679412351504045,0.0,410.06982933908716,31.87743577677659,0.0,368.57643632042,69.78992411413745,2500,4.532427183384194,500,109.19499901889296,0.0,0.0,2500,161.67810379040958,2500,0.0,2501,86.47734730344409,153.38624690227172,38.52887553749891,419.5375851851741,0.0,78.4893496544725,0.0,36.46574528183081,382.3235665127832,0.0,46.36456709617943
500,0.0,0.0,384.1803149751848,3000,4.825668255936696,3000,3000,0.0,0.0,0.0,0.0,435.68216710987093,15360000,89.00280063899066,501,500,0.0,252.95842953564872,0.0,0.0,3000,90.24734929280407,500,13.611192450567382,4.094054307015046,0.0,28.345948438196928,0.0,359.73906246852977,24.632943293595385,0.0,393.84406554391694,56.110144349407285,3000,12.823475186987242,500,70.85235381140753,0.0,0.0,3000,150.1731444262358,3000,0.0,2501,78.06562519555538,155.33396101911384,33.51121952905842,216.70172347855436,0.0,44.46130276207933,0.0,32.696882386026,435.68216710987093,0.0,42.04598801617479
500,0.0,0.0,438.3050873382303,3500,3.427619244805466,3500,3500,0.0,0.0,0.0,0.0,557.9849031597773,17920000,100.34236312026226,500,501,0.0,176.1241500454732,0.0,0.0,3500,63.68753291085534,500,15.275368980088146,1.5824097927970782,0.0,1.082133570160203,0.0,282.1441497823605,13.764810286082112,0.0,469.94478252359636,51.047178800980355,3500,22.936221126632983,500,90.47999718355908,0.0,0.0,3500,150.5643260171306,3500,0.0,2501,58.92489309488176,178.9305700997565,16.221580684967762,557.9849031597773,0.0,95.66039949075576,0.0,34.0253147748377,536.3326129605509,0.0,20.18981466316737
500,0.0,0.0,411.3573901728829,4000,3.7562118372967426,4000,4000,0.0,0.0,0.0,0.0,519.3769122954067,20480000,100.14257098948751,500,501,0.0,195.7700440845147,0.0,0.0,4000,59.20434380961889,500,14.012114944116613,1.9799930407272073,0.0,5.230290763548069,0.0,286.25980681064436,14.406237845250944,0.0,438.4809130579984,60.53231142241422,4000,24.83181945030537,501,73.90399485464656,0.0,0.0,4000,145.27156604337154,4000,0.0,2502,59.6728743141049,165.93486235715343,17.515462569586408,183.46396027284936,0.0,48.730304243582516,0.0,35.724332325767165,519.3769122954067,0.0,22.120548252885225
500,0.0,0.0,419.54181775110584,4500,3.127350951925473,4500,4500,0.0,0.0,0.0,0.0,481.1881213591294,23040000,96.43025757160707,500,500,0.0,115.71981592647455,0.0,0.0,4500,78.32533603164957,500,9.620317248112933,1.45727775716987,0.0,18.792500067295848,0.0,140.90452417785394,13.467370954855955,0.0,437.4335011307942,42.33021714755903,4500,14.484112310096618,500,47.79416288793426,0.0,0.0,4500,123.3320515188816,4500,0.0,2500,16.0878909101523,162.49575023396537,15.71277764920497,122.95223679643888,0.0,18.364868111510845,0.0,30.3016285838409,481.1881213591294,0.0,19.54316429494032
500,0.0,0.0,493.0458928286554,5000,3.41463407980647,5000,5000,0.0,0.0,0.0,0.0,1450.258575679591,25600000,128.3238530742365,500,500,0.0,264.15439006760437,0.0,0.0,5000,76.03833492240614,500,12.556505930121189,2.2750701373709443,0.0,1.1015662065278986,0.0,409.4202410933562,14.387975955915493,0.0,783.7749179821345,64.83662297407444,5000,237.14729400921235,500,63.46944461400683,0.0,0.0,5000,225.85641978495838,5000,0.0,2500,100.3306599660329,316.78094450854144,17.883346261046086,194.70670513256127,0.0,45.46802345363635,0.0,41.82632321164772,1450.258575679591,0.0,23.57925212715406
