Average/TerminationRate,MetaTest/basketball-v2/TerminationRate,MetaTest/Average/StdReturn,basketball-v2/AverageDiscountedReturn,GaussianMLPPolicy/dLoss,basketball-v2/MinReturn,basketball-v2/MaxReturn,GaussianMLPPolicy/KLAfter,MetaTest/basketball-v2/StdReturn,Average/MinReturn,MetaTest/Average/NumEpisodes,MetaTest/Average/AverageReturn,Average/AverageReturn,Average/SuccessRate,GaussianMLPPolicy/LossAfter,MetaTest/basketball-v2/AverageReturn,basketball-v2/AverageReturn,basketball-v2/Iteration,MetaTest/Average/SuccessRate,MetaTest/Average/MaxReturn,Average/StdReturn,basketball-v2/TerminationRate,Average/NumEpisodes,MetaTest/basketball-v2/MaxReturn,MetaTest/Average/MinReturn,basketball-v2/SuccessRate,Average/AverageDiscountedReturn,MetaTest/basketball-v2/NumEpisodes,GaussianMLPPolicy/Entropy,GaussianMLPPolicy/KLBefore,TotalEnvSteps,MetaTest/basketball-v2/MinReturn,GaussianMLPPolicy/LossBefore,MetaTest/basketball-v2/SuccessRate,MetaTest/Average/TerminationRate,Average/Iteration,Average/MaxReturn,MetaTest/Average/Iteration,MetaTest/basketball-v2/Iteration,Iteration,basketball-v2/NumEpisodes,MetaTest/Average/AverageDiscountedReturn,MetaTest/basketball-v2/AverageDiscountedReturn,basketball-v2/StdReturn
0.0,0.0,4.59846374572545,2.0054290585852645,0.0036034485819982365,0.7271423619846651,27.31626567939471,0.006406503263860941,4.59846374572545,0.7271423619846651,50,8.1761841551837,6.001320865230234,0.0,-0.003521320642903447,8.1761841551837,6.001320865230234,0,0.0,24.90942813698523,4.3386014332871525,0.0,200,24.90942813698523,2.960560398234276,0.0,2.0054290585852645,50,5.691830635070801,0.0,200000,2.960560398234276,8.212793909478933e-05,0.0,0.0,0,27.31626567939471,0,0,0,200,8.1761841551837,8.1761841551837,4.3386014332871525
0.0,0.0,5.959458820898303,2.891162533498474,0.0017416171031072736,1.2237085943091994,47.28107418526183,0.0064203254878520966,5.959458820898303,1.2237085943091994,50,10.9793662772743,7.471634583310129,0.0,-0.0007279602577909827,10.9793662772743,7.471634583310129,1,0.0,25.550960618259996,6.571248553674423,0.0,200,25.550960618259996,2.101876773976237,0.0,2.891162533498474,50,5.69901180267334,0.0,400000,2.101876773976237,0.0010136568453162909,0.0,0.0,1,47.28107418526183,1,1,1,200,10.9793662772743,10.9793662772743,6.571248553674423
0.0,0.0,6.994450708028268,3.9349253749727007,0.0014948913594707847,1.3185374008865745,58.908110030394056,0.006410444620996714,6.994450708028268,1.3185374008865745,50,13.452053551774416,10.889283378599593,0.0,-0.0007571275345981121,13.452053551774416,10.889283378599593,2,0.0,36.052333138080506,7.248169783243307,0.0,200,36.052333138080506,4.7188984443698105,0.0,3.9349253749727007,50,5.705897331237793,0.0,600000,4.7188984443698105,0.0007377638248726726,0.0,0.0,2,58.908110030394056,2,2,2,200,13.452053551774416,13.452053551774416,7.248169783243307
0.0,0.0,7.573614303376697,4.516758959405335,0.002583200577646494,2.9095004637309763,40.96127372183109,0.00960749201476574,7.573614303376697,2.9095004637309763,50,10.771284403092817,13.334563661996421,0.0,0.0032699336297810078,10.771284403092817,13.334563661996421,3,0.0,35.79650346169882,7.858195998327392,0.0,200,35.79650346169882,1.3712544447472135,0.0,4.516758959405335,50,5.775856971740723,0.0,800000,1.3712544447472135,0.005853134207427502,0.0,0.0,3,40.96127372183109,3,3,3,200,10.771284403092817,10.771284403092817,7.858195998327392
0.0,0.0,8.024494626009446,4.560860981246325,0.001138382824137807,2.5568156861938633,42.432004705724346,0.009694445878267288,8.024494626009446,2.5568156861938633,50,15.1122074569111,13.508952612413404,0.0,-0.002414837945252657,15.1122074569111,13.508952612413404,4,0.0,35.737953761454285,7.727668245836474,0.0,200,35.737953761454285,3.0134751664276616,0.0,4.560860981246325,50,5.759068012237549,0.0,1000000,3.0134751664276616,-0.00127645512111485,0.0,0.0,4,42.432004705724346,4,4,4,200,15.1122074569111,15.1122074569111,7.727668245836474
0.0,0.0,8.475051442294905,4.831143613509649,0.002143294084817171,3.078744513608165,41.411176237083744,0.0064229583367705345,8.475051442294905,3.078744513608165,50,15.167415662402473,15.542801181270564,0.0,-0.004743209108710289,15.167415662402473,15.542801181270564,5,0.0,36.046030169422515,7.100510259072463,0.0,200,36.046030169422515,4.672693774888112,0.0,4.831143613509649,50,5.736044883728027,0.0,1200000,4.672693774888112,-0.002599915023893118,0.0,0.0,5,41.411176237083744,5,5,5,200,15.167415662402473,15.167415662402473,7.100510259072463
0.0,0.0,7.981778384207097,4.828973708794014,0.001357722096145153,3.0351785264341307,40.79567353827403,0.00663284445181489,7.981778384207097,3.0351785264341307,50,15.424507633221813,15.382766130716597,0.0,-0.003521187696605921,15.424507633221813,15.382766130716597,6,0.0,35.76871753336648,7.508331228413537,0.0,200,35.76871753336648,3.2496949185419313,0.0,4.828973708794014,50,5.71073055267334,0.0,1400000,3.2496949185419313,-0.0021634656004607677,0.0,0.0,6,40.79567353827403,6,6,6,200,15.424507633221815,15.424507633221815,7.508331228413537
0.0,0.0,8.215889861737761,4.894413885883808,0.0008400516817346215,2.602203391149307,51.81228490590766,0.006672968622297049,8.215889861737761,2.602203391149307,50,16.167283362865284,16.098642660392844,0.0,-0.00035808264510706067,16.167283362865284,16.098642660392844,7,0.0,41.17092052798248,8.576568120386455,0.0,200,41.17092052798248,3.620692012564385,0.0,4.894413885883808,50,5.715221881866455,0.0,1600000,3.620692012564385,0.00048196903662756085,0.0,0.0,7,51.81228490590766,7,7,7,200,16.167283362865284,16.167283362865284,8.576568120386455
0.0,0.0,7.898144629016018,4.848063129238149,0.0017100978875532746,3.179914109069048,37.62821721972787,0.006635661236941814,7.898144629016018,3.179914109069048,50,17.745050214647144,17.024744902280247,0.0,-0.0029042980168014765,17.745050214647144,17.024744902280247,8,0.0,34.86449970383668,7.085196427173028,0.0,200,34.86449970383668,4.563196411601369,0.0,4.848063129238149,50,5.706539154052734,0.0,1800000,4.563196411601369,-0.0011942001292482018,0.0,0.0,8,37.62821721972787,8,8,8,200,17.74505021464715,17.74505021464715,7.085196427173028
0.0,0.0,7.663754285565691,4.989737103974556,0.002387890708632767,1.601619916192514,65.7778233897156,0.009963112883269787,7.663754285565691,1.601619916192514,50,17.27767757141032,16.778149765567818,0.0,-0.0015251284930855036,17.27767757141032,16.778149765567818,9,0.0,34.21156882785857,8.965488794548133,0.0,200,34.21156882785857,3.3047357710676843,0.0,4.989737103974556,50,5.718624591827393,0.0,2000000,3.3047357710676843,0.0008627622155472636,0.0,0.0,9,65.7778233897156,9,9,9,200,17.27767757141031,17.27767757141031,8.965488794548133
