MetaTest/basketball-v2/MinReturn,GaussianMLPPolicy/dLoss,Average/Iteration,MetaTest/basketball-v2/MaxReturn,basketball-v2/AverageDiscountedReturn,MetaTest/Average/StdReturn,MetaTest/basketball-v2/AverageReturn,MetaTest/basketball-v2/StdReturn,MetaTest/basketball-v2/AverageDiscountedReturn,MetaTest/Average/MinReturn,Average/AverageReturn,MetaTest/basketball-v2/NumEpisodes,basketball-v2/StdReturn,MetaTest/Average/MaxReturn,MetaTest/basketball-v2/TerminationRate,GaussianMLPPolicy/KLAfter,Average/TerminationRate,MetaTest/basketball-v2/Iteration,basketball-v2/NumEpisodes,GaussianMLPPolicy/Entropy,MetaTest/Average/AverageDiscountedReturn,MetaTest/Average/Iteration,GaussianMLPPolicy/LossBefore,GaussianMLPPolicy/LossAfter,basketball-v2/TerminationRate,Average/MinReturn,Iteration,Average/AverageDiscountedReturn,MetaTest/Average/NumEpisodes,MetaTest/Average/TerminationRate,Average/StdReturn,MetaTest/Average/SuccessRate,MetaTest/Average/AverageReturn,basketball-v2/AverageReturn,TotalEnvSteps,basketball-v2/Iteration,basketball-v2/MaxReturn,Average/MaxReturn,MetaTest/basketball-v2/SuccessRate,Average/SuccessRate,basketball-v2/SuccessRate,GaussianMLPPolicy/KLBefore,Average/NumEpisodes,basketball-v2/MinReturn
1.40776302792449,0.0024819294922053814,0,25.736397864549055,2.0461059221390236,4.875674700128086,8.20326039074898,4.875674700128086,8.203260390748978,1.40776302792449,5.741405825707379,50,3.939393526741461,25.736397864549055,0.0,0.006446628365665674,0.0,0,200,5.685798168182373,8.203260390748978,0,0.002305544912815094,-0.0001763845793902874,0.0,0.9335700112475235,0,2.0461059221390236,50,0.0,3.939393526741461,0.0,8.20326039074898,5.741405825707379,200000,0,31.35984381081537,31.35984381081537,0.0,0.0,0.0,0.0,200,0.9335700112475235
2.6258820272371906,0.001140156527981162,1,24.221133916862502,3.8045920597720397,5.535261769848824,10.362762849522117,5.535261769848824,10.36276284952212,2.6258820272371906,9.73644314579454,50,9.226782169597126,24.221133916862502,0.0,0.006462959107011557,0.0,1,200,5.708702564239502,10.36276284952212,1,0.002143874764442444,0.0010037182364612818,0.0,0.7963420877058188,1,3.8045920597720397,50,0.0,9.226782169597126,0.0,10.362762849522117,9.73644314579454,400000,1,91.28796026905435,91.28796026905435,0.0,0.0,0.0,0.0,200,0.7963420877058188
1.298769804679011,0.002099879551678896,2,29.604082595432047,4.181911592779426,6.16297237488627,10.440182018849425,6.16297237488627,10.440182018849425,1.298769804679011,11.27824291865013,50,6.5713967458025415,29.604082595432047,0.0,0.006433999631553888,0.0,2,200,5.661155700683594,10.440182018849425,2,-0.005676933564245701,-0.007776813115924597,0.0,1.0950901829871977,2,4.181911592779426,50,0.0,6.5713967458025415,0.0,10.440182018849425,11.27824291865013,600000,2,42.6373705182278,42.6373705182278,0.0,0.0,0.0,0.0,200,1.0950901829871977
2.2608465605220625,0.0014827732229605317,3,51.907103352895405,4.354467169375434,8.748749503482484,13.290157836943537,8.748749503482484,13.290157836943541,2.2608465605220625,11.441276426710282,50,7.513882925104819,51.907103352895405,0.0,0.006467135157436132,0.0,3,200,5.656654357910156,13.290157836943541,3,-0.0005189400399103761,-0.002001713262870908,0.0,0.8764906251325542,3,4.354467169375434,50,0.0,7.513882925104819,0.0,13.290157836943537,11.441276426710282,800000,3,41.40308287031957,41.40308287031957,0.0,0.0,0.0,0.0,200,0.8764906251325542
3.661300776205342,0.001401203429850284,4,150.14371525504802,4.28696285946725,21.67452383802892,17.139250433081262,21.67452383802892,17.13925043308127,3.661300776205342,12.985539935573861,50,7.065845323575342,150.14371525504802,0.0,0.006462222430855036,0.0,4,200,5.649188041687012,17.13925043308127,4,3.932844992959872e-05,-0.0013618749799206853,0.0,2.7683220419548813,4,4.28696285946725,50,0.0,7.065845323575342,0.0,17.139250433081262,12.985539935573861,1000000,4,34.0390306288951,34.0390306288951,0.0,0.0,0.0,0.0,200,2.7683220419548813
4.319832292898751,0.001035936948028393,5,32.91156326618598,4.721692990873605,6.306362132074362,14.27286352132853,6.306362132074362,14.27286352132853,4.319832292898751,12.983230398825276,50,7.950530702468512,32.91156326618598,0.0,0.006476864218711853,0.0,5,200,5.6597747802734375,14.27286352132853,5,0.0008448344888165593,-0.00019110245921183378,0.0,2.6597398483955663,5,4.721692990873605,50,0.0,7.950530702468512,0.0,14.27286352132853,12.983230398825276,1200000,5,47.41933710248355,47.41933710248355,0.0,0.0,0.0,0.0,200,2.6597398483955663
2.810025510669351,0.0012848353944718838,6,41.97494696169814,4.628360102550364,8.19610386729348,14.392845784512813,8.19610386729348,14.392845784512815,2.810025510669351,13.874536896654417,50,7.469973369462944,41.97494696169814,0.0,0.006423501763492823,0.0,6,200,5.637185096740723,14.392845784512815,6,-0.0022229799069464207,-0.0035078153014183044,0.0,4.195213121896448,6,4.628360102550364,50,0.0,7.469973369462944,0.0,14.392845784512813,13.874536896654417,1400000,6,55.73189286326382,55.73189286326382,0.0,0.0,0.0,0.0,200,4.195213121896448
2.034902855865114,0.00028020970057696104,7,32.12549822606697,4.643984011603774,6.275953372623974,13.863025241805596,6.275953372623974,13.863025241805596,2.034902855865114,14.026774651429655,50,8.640005877754442,32.12549822606697,0.0,0.009949645027518272,0.0,7,200,5.657193183898926,13.863025241805596,7,0.0016202550614252687,0.0013400453608483076,0.0,3.2016559303413126,7,4.643984011603774,50,0.0,8.640005877754442,0.0,13.863025241805596,14.026774651429655,1600000,7,59.26366232749731,59.26366232749731,0.0,0.0,0.0,0.0,200,3.2016559303413126
3.7010804011610325,0.0006808335892856121,8,66.57310236967976,4.86594087484086,10.886933103528717,16.854380233664834,10.886933103528717,16.854380233664834,3.7010804011610325,14.488486620120238,50,10.904478893830124,66.57310236967976,0.0,0.009666383266448975,0.0,8,200,5.640105724334717,16.854380233664834,8,-0.0015831210184842348,-0.002263954607769847,0.0,1.8802491330226092,8,4.86594087484086,50,0.0,10.904478893830124,0.0,16.854380233664834,14.488486620120238,1800000,8,115.43594978840744,115.43594978840744,0.0,0.0,0.0,0.0,200,1.8802491330226092
2.2897778250000473,0.0009399511473020539,9,42.006312192190315,4.950400639118316,7.768047690029532,13.901839200655177,7.768047690029532,13.901839200655179,2.2897778250000473,16.03267542687585,50,8.210105751357288,42.006312192190315,0.0,0.006543202791363001,0.0,9,200,5.642574310302734,13.901839200655179,9,-9.600388875696808e-05,-0.001035955036059022,0.0,2.880421666126112,9,4.950400639118316,50,0.0,8.210105751357288,0.0,13.901839200655177,16.03267542687585,2000000,9,41.13120026001805,41.13120026001805,0.0,0.0,0.0,0.0,200,2.880421666126112
