basketball-v2/TerminationRate,MetaTest/Average/MinReturn,GaussianMLPPolicy/Entropy,GaussianMLPPolicy/LossBefore,Average/MaxReturn,basketball-v2/StdReturn,MetaTest/Average/AverageReturn,MetaTest/basketball-v2/StdReturn,GaussianMLPPolicy/dLoss,MetaTest/basketball-v2/MaxReturn,basketball-v2/SuccessRate,MetaTest/basketball-v2/SuccessRate,Average/AverageReturn,MetaTest/Average/SuccessRate,GaussianMLPPolicy/KLBefore,MetaTest/basketball-v2/MinReturn,Average/Iteration,basketball-v2/MaxReturn,Average/NumEpisodes,MetaTest/basketball-v2/NumEpisodes,MetaTest/basketball-v2/Iteration,MetaTest/basketball-v2/AverageReturn,MetaTest/Average/MaxReturn,MetaTest/Average/NumEpisodes,basketball-v2/AverageReturn,GaussianMLPPolicy/LossAfter,basketball-v2/AverageDiscountedReturn,Average/MinReturn,MetaTest/Average/TerminationRate,MetaTest/basketball-v2/TerminationRate,Average/SuccessRate,Average/StdReturn,TotalEnvSteps,basketball-v2/Iteration,basketball-v2/NumEpisodes,Average/TerminationRate,GaussianMLPPolicy/KLAfter,Iteration,MetaTest/basketball-v2/AverageDiscountedReturn,MetaTest/Average/Iteration,Average/AverageDiscountedReturn,MetaTest/Average/StdReturn,basketball-v2/MinReturn,MetaTest/Average/AverageDiscountedReturn
0.0,1.2731222205776636,5.672226428985596,-0.0007574158953502774,47.721531823465014,4.54484500520717,9.994708778498119,7.617735989460721,0.0011298024328425527,40.83092380350576,0.0,0.0,5.867746527282838,0.0,0.0,1.2731222205776636,0,47.721531823465014,1200,50,0,9.994708778498119,40.83092380350576,50,5.867746527282838,-0.00188721832819283,2.011139790165579,0.38107184571218716,0.0,0.0,0.0,4.54484500520717,1200000,0,1200,0.0,0.0065179504454135895,0,9.994708778498115,0,2.011139790165579,7.617735989460721,0.38107184571218716,9.994708778498115
0.0,2.475567588687924,5.6777873039245605,0.0004921077052131295,169.6881072736875,10.150186553286945,11.31522367441325,6.196367907093099,0.0001313075772486627,31.44894886289174,0.0,0.0,10.345285858139448,0.0,0.0,2.475567588687924,1,169.6881072736875,1200,50,1,11.31522367441325,31.44894886289174,50,10.345285858139448,0.0003608001279644668,3.771829191320612,0.8506979853750091,0.0,0.0,0.0,10.150186553286945,2400000,1,1200,0.0,0.004179260693490505,1,11.31522367441325,1,3.771829191320612,6.196367907093099,0.8506979853750091,11.31522367441325
0.0,4.369015341741795,5.66365909576416,-0.0006962778861634433,57.642332929041224,6.938205635565188,12.038045304775164,5.757147766510411,0.0002072755596600473,26.54781803505591,0.0,0.0,11.455912566525994,0.0,0.0,4.369015341741795,2,57.642332929041224,1200,50,2,12.038045304775164,26.54781803505591,50,11.455912566525994,-0.0009035534458234906,4.286492241828512,1.4423244055162587,0.0,0.0,0.0,6.938205635565188,3600000,2,1200,0.0,0.006434980779886246,2,12.038045304775164,2,4.286492241828512,5.757147766510411,1.4423244055162587,12.038045304775164
0.0,3.614088805970907,5.675705909729004,0.0014791862340644002,90.56201586844817,7.410252596127992,15.928881928638567,8.729167974712222,3.883929457515478e-05,36.12803431008414,0.0,0.0,12.285846942602177,0.0,0.0,3.614088805970907,3,90.56201586844817,1200,50,3,15.928881928638567,36.12803431008414,50,12.285846942602177,0.0014403469394892454,4.259817101435408,1.8435783467321698,0.0,0.0,0.0,7.410252596127992,4800000,3,1200,0.0,0.0026175747625529766,3,15.928881928638573,3,4.259817101435408,8.729167974712222,1.8435783467321698,15.928881928638573
0.0,2.731755395821876,5.645920276641846,-0.0011455065105110407,202.4442643357049,10.335326423498586,11.801381277926337,6.2631072491775,0.00048348435666412115,25.632046232398803,0.0,0.0,13.372810838815886,0.0,0.0,2.731755395821876,4,202.4442643357049,1200,50,4,11.801381277926337,25.632046232398803,50,13.372810838815886,-0.0016289908671751618,4.690747544083653,1.7803810468313925,0.0,0.0,0.0,10.335326423498586,6000000,4,1200,0.0,0.009983743540942669,4,11.801381277926339,4,4.690747544083653,6.2631072491775,1.7803810468313925,11.801381277926339
0.0,2.5378262628920454,5.645889759063721,0.00013292483345139772,52.93702496110053,7.087980624916282,13.18062255650334,8.452751740899831,0.0003184206871083006,45.20898052094932,0.0,0.0,14.491209466903271,0.0,0.0,2.5378262628920454,5,52.93702496110053,1200,50,5,13.18062255650334,45.20898052094932,50,14.491209466903271,-0.0001854958536569029,4.52760216234172,2.7067120036920396,0.0,0.0,0.0,7.087980624916282,7200000,5,1200,0.0,0.0064413538202643394,5,13.180622556503337,5,4.52760216234172,8.452751740899831,2.7067120036920396,13.180622556503337
0.0,2.3544879049277543,5.651669979095459,-7.576202187919989e-05,64.89036020942407,7.8856632495779015,18.50821097496847,9.966670711109602,6.7352426412981e-05,51.94808526177377,0.0,0.0,13.779479542421322,0.0,0.0,2.3544879049277543,6,64.89036020942407,1200,50,6,18.50821097496847,51.94808526177377,50,13.779479542421322,-0.0001431144482921809,4.629112358136375,1.775054017849004,0.0,0.0,0.0,7.8856632495779015,8400000,6,1200,0.0,0.0041333651170134544,6,18.50821097496847,6,4.629112358136375,9.966670711109602,1.775054017849004,18.50821097496847
0.0,2.9477840274254685,5.641685962677002,-0.000620598962996155,71.11645189077598,8.169422545732253,14.023924372841888,8.788627813094234,7.947598351165652e-05,40.34434132178487,0.0,0.0,15.415235742880887,0.0,0.0,2.9477840274254685,7,71.11645189077598,1200,50,7,14.023924372841888,40.34434132178487,50,15.415235742880887,-0.0007000749465078115,4.735130022488526,2.3028385656380914,0.0,0.0,0.0,8.169422545732253,9600000,7,1200,0.0,0.006646843161433935,7,14.023924372841886,7,4.735130022488526,8.788627813094234,2.3028385656380914,14.023924372841886
0.0,3.9681089220041708,5.6356658935546875,-0.0007972155581228435,62.32029142633089,8.399157335264073,17.117912670223735,14.102222256735,3.181252395734191e-05,101.02421380114279,0.0,0.0,14.683836736237772,0.0,0.0,3.9681089220041708,8,62.32029142633089,1200,50,8,17.117912670223735,101.02421380114279,50,14.683836736237772,-0.0008290280820801854,4.795499150944342,1.8741399236589162,0.0,0.0,0.0,8.399157335264073,10800000,8,1200,0.0,0.0016784826293587685,8,17.11791267022373,8,4.795499150944342,14.102222256735,1.8741399236589162,17.11791267022373
0.0,3.2594521593133727,5.6286725997924805,-0.0003635479952208698,53.67029491093916,8.06739724358142,15.487032577017464,7.2210263200546665,0.0010175943025387824,38.53162628239855,0.0,0.0,15.750819068738407,0.0,0.0,3.2594521593133727,9,53.67029491093916,1200,50,9,15.487032577017464,38.53162628239855,50,15.750819068738407,-0.0013811422977596521,4.870833228395784,1.9311378607930436,0.0,0.0,0.0,8.06739724358142,12000000,9,1200,0.0,0.006452721543610096,9,15.487032577017466,9,4.870833228395784,7.2210263200546665,1.9311378607930436,15.487032577017466
