basketball-v2/Iteration,Average/Iteration,MetaTest/Average/Iteration,Average/SuccessRate,GaussianMLPPolicy/dLoss,MetaTest/Average/StdReturn,TotalEnvSteps,MetaTest/Average/NumEpisodes,basketball-v2/MaxReturn,MetaTest/basketball-v2/AverageReturn,MetaTest/Average/MaxReturn,MetaTest/Average/SuccessRate,basketball-v2/MinReturn,basketball-v2/TerminationRate,MetaTest/basketball-v2/MinReturn,MetaTest/basketball-v2/TerminationRate,MetaTest/basketball-v2/NumEpisodes,Average/AverageReturn,MetaTest/Average/AverageDiscountedReturn,GaussianMLPPolicy/KLBefore,MetaTest/basketball-v2/StdReturn,Average/MaxReturn,Average/StdReturn,MetaTest/Average/AverageReturn,Iteration,basketball-v2/AverageReturn,basketball-v2/NumEpisodes,Average/AverageDiscountedReturn,GaussianMLPPolicy/KLAfter,MetaTest/basketball-v2/MaxReturn,Average/TerminationRate,MetaTest/Average/MinReturn,MetaTest/basketball-v2/SuccessRate,GaussianMLPPolicy/LossBefore,GaussianMLPPolicy/LossAfter,MetaTest/basketball-v2/Iteration,basketball-v2/SuccessRate,Average/NumEpisodes,GaussianMLPPolicy/Entropy,MetaTest/Average/TerminationRate,basketball-v2/AverageDiscountedReturn,basketball-v2/StdReturn,MetaTest/basketball-v2/AverageDiscountedReturn,Average/MinReturn
10,10,10,0.0,0.001566948660183698,8.086987810113275,2200000,50,69.08697628847338,16.393467879039203,36.15718104773353,0.0,2.9270222471918093,0.0,2.8649939883653954,0.0,50,17.793487635446763,16.393467879039203,0.0,8.086987810113275,69.08697628847338,10.035416620911308,16.393467879039203,10,17.793487635446763,200,5.568260927055035,0.006665853317826986,36.15718104773353,0.0,2.8649939883653954,0.0,0.0010135341435670853,-0.0005534145166166127,10,0.0,200,5.63202428817749,0.0,5.568260927055035,10.035416620911308,16.393467879039203,2.9270222471918093
11,11,11,0.0,0.000664775725454092,8.011901072141626,2400000,50,54.688161215423946,17.078342514394983,31.87153375251954,0.0,1.9285109164025513,0.0,4.035075183485169,0.0,50,17.470861557612714,17.078342514394986,0.0,8.011901072141626,54.688161215423946,9.274481611828822,17.078342514394983,11,17.470861557612714,200,5.59624431060168,0.0066748023964464664,31.87153375251954,0.0,4.035075183485169,0.0,0.00036127082421444356,-0.00030350490123964846,11,0.0,200,5.636390686035156,0.0,5.59624431060168,9.274481611828822,17.078342514394986,1.9285109164025513
12,12,12,0.0,0.001503116451203823,8.004949132043475,2600000,50,37.90408302516162,16.615888528903646,40.731200126367135,0.0,2.400743937258434,0.0,4.3496574049871155,0.0,50,16.372179188957276,16.61588852890365,0.0,8.004949132043475,37.90408302516162,8.557463658746217,16.615888528903646,12,16.372179188957276,200,5.213001695083219,0.009982379153370857,40.731200126367135,0.0,4.3496574049871155,0.0,0.0034732487984001637,0.0019701323471963406,12,0.0,200,5.686874866485596,0.0,5.213001695083219,8.557463658746217,16.61588852890365,2.400743937258434
13,13,13,0.0,0.001684133691014722,17.799914055304797,2800000,50,61.476435651639314,20.287008507346542,125.28784778911002,0.0,3.349792968563621,0.0,3.218839607629673,0.0,50,17.92601695708848,20.28700850734654,0.0,17.799914055304797,61.476435651639314,8.911567451305812,20.287008507346542,13,17.92601695708848,200,5.645313664518064,0.006862399633973837,125.28784778911002,0.0,3.218839607629673,0.0,0.0013576451456174254,-0.00032648854539729655,13,0.0,200,5.701455116271973,0.0,5.645313664518064,8.911567451305812,20.28700850734654,3.349792968563621
14,14,14,0.0,0.0009919409931171685,7.428827308364833,3000000,50,38.56830927012385,17.019761214354922,40.636818122910086,0.0,2.481692097397171,0.0,2.365165183879353,0.0,50,17.4939991458229,17.019761214354922,0.0,7.428827308364833,38.56830927012385,8.519602138812607,17.019761214354922,14,17.4939991458229,200,5.328840369597749,0.006504899822175503,40.636818122910086,0.0,2.365165183879353,0.0,-0.000260503584286198,-0.0012524445774033666,14,0.0,200,5.715229511260986,0.0,5.328840369597749,8.519602138812607,17.019761214354922,2.481692097397171
15,15,15,0.0,0.0011400431394577026,9.240234591470127,3200000,50,78.95111773593484,17.31450714724043,39.727085228874586,0.0,2.7145846333696464,0.0,4.487257320046518,0.0,50,18.390721663109776,17.31450714724043,0.0,9.240234591470127,78.95111773593484,9.742496721236312,17.31450714724043,15,18.390721663109776,200,5.506557464504169,0.006621635518968105,39.727085228874586,0.0,4.487257320046518,0.0,-0.0021031894721090794,-0.003243232611566782,15,0.0,200,5.695570468902588,0.0,5.506557464504169,9.742496721236312,17.31450714724043,2.7145846333696464
16,16,16,0.0,0.0002928216927102767,10.422924206659872,3400000,50,39.34743497098667,17.006568814471255,60.8009982143654,0.0,4.7242836010959826,0.0,3.0129795310514336,0.0,50,18.24531993203384,17.006568814471258,0.0,10.422924206659872,39.34743497098667,8.295525221742242,17.006568814471255,16,18.24531993203384,200,5.742097855457948,0.00996408425271511,60.8009982143654,0.0,3.0129795310514336,0.0,4.9315996875520796e-05,-0.0002435056958347559,16,0.0,200,5.696990489959717,0.0,5.742097855457948,8.295525221742242,17.006568814471258,4.7242836010959826
17,17,17,0.0,0.0013214219361543655,7.542108533465638,3600000,50,69.64325015659225,15.53128082069639,34.55672013472857,0.0,2.8277524401172762,0.0,3.015009928253486,0.0,50,14.906610682041187,15.53128082069639,0.0,7.542108533465638,69.64325015659225,8.700006950605646,15.53128082069639,17,14.906610682041187,200,4.596885419023324,0.006580146495252848,34.55672013472857,0.0,3.015009928253486,0.0,-0.0035215788520872593,-0.004843000788241625,17,0.0,200,5.670234203338623,0.0,4.596885419023324,8.700006950605646,15.53128082069639,2.8277524401172762
18,18,18,0.0,0.0006105746142566204,9.313826800347005,3800000,50,73.85847389208203,16.331440639621285,57.652059398693304,0.0,2.504161187890857,0.0,2.980778387390097,0.0,50,17.643008279275282,16.331440639621285,0.0,9.313826800347005,73.85847389208203,10.332273954549262,16.331440639621285,18,17.643008279275282,200,5.630317033933022,0.006571456789970398,57.652059398693304,0.0,2.980778387390097,0.0,-0.004756145179271698,-0.005366719793528318,18,0.0,200,5.613590717315674,0.0,5.630317033933022,10.332273954549262,16.331440639621285,2.504161187890857
19,19,19,0.0,0.00046929108793847263,9.673227232410264,4000000,50,73.66419859964306,17.25382375451108,58.34646484296099,0.0,3.1180011356228174,0.0,4.400606795010729,0.0,50,17.897040438975065,17.25382375451108,0.0,9.673227232410264,73.66419859964306,10.283998551275674,17.25382375451108,19,17.897040438975065,200,5.674958485117272,0.006623223423957825,58.34646484296099,0.0,4.400606795010729,0.0,0.000704781268723309,0.0002354901807848364,19,0.0,200,5.6194257736206055,0.0,5.674958485117272,10.283998551275674,17.25382375451108,3.1180011356228174
20,20,20,0.0,0.0011479812674224377,9.386787746725796,4200000,50,189.60161107819354,15.720469120183182,54.00824419686956,0.0,2.773025605355761,0.0,3.085927610676206,0.0,50,20.797787628571932,15.720469120183186,0.0,9.386787746725796,189.60161107819354,18.633196350354183,15.720469120183182,20,20.797787628571932,200,6.2880736020022825,0.00703294575214386,54.00824419686956,0.0,3.085927610676206,0.0,-0.0013099729549139738,-0.0024579542223364115,20,0.0,200,5.612130165100098,0.0,6.2880736020022825,18.633196350354183,15.720469120183186,2.773025605355761
21,21,21,0.0,0.00012319587403908372,22.045003923889603,4400000,50,123.42877309985035,20.892596379077045,128.07698950130904,0.0,1.7390505349449448,0.0,2.6988454655950416,0.0,50,20.407809124311367,20.89259637907704,0.0,22.045003923889603,123.42877309985035,14.122618350734657,20.892596379077045,21,20.407809124311367,200,6.1860349965533725,0.0064028175547719,128.07698950130904,0.0,2.6988454655950416,0.0,-0.000917994708288461,-0.0010411905823275447,21,0.0,200,5.59921932220459,0.0,6.1860349965533725,14.122618350734657,20.89259637907704,1.7390505349449448
22,22,22,0.0,0.0010334090329706669,12.931886410524445,4600000,50,138.70036063051137,20.5670254381129,60.34466012674266,0.0,2.346810915613714,0.0,4.835762565622059,0.0,50,18.379938384396095,20.5670254381129,0.0,12.931886410524445,138.70036063051137,15.558069761942706,20.5670254381129,22,18.379938384396095,200,5.545796604472433,0.006732444278895855,60.34466012674266,0.0,4.835762565622059,0.0,-0.0036018104292452335,-0.0046352194622159,22,0.0,200,5.546725749969482,0.0,5.545796604472433,15.558069761942706,20.5670254381129,2.346810915613714
