Average/TerminationRate,Average/MaxReturn,MetaTest/basketball-v2/AverageDiscountedReturn,basketball-v2/NumEpisodes,Average/NumEpisodes,MetaTest/basketball-v2/SuccessRate,MetaTest/Average/StdReturn,basketball-v2/MinReturn,basketball-v2/MaxReturn,GaussianMLPPolicy/LossBefore,GaussianMLPPolicy/Entropy,MetaTest/Average/TerminationRate,Average/MinReturn,MetaTest/Average/Iteration,basketball-v2/TerminationRate,basketball-v2/AverageDiscountedReturn,MetaTest/basketball-v2/NumEpisodes,Average/AverageReturn,GaussianMLPPolicy/KLAfter,MetaTest/basketball-v2/StdReturn,MetaTest/Average/AverageReturn,Average/AverageDiscountedReturn,MetaTest/Average/SuccessRate,Iteration,MetaTest/basketball-v2/MaxReturn,basketball-v2/SuccessRate,GaussianMLPPolicy/KLBefore,basketball-v2/Iteration,basketball-v2/StdReturn,MetaTest/Average/MinReturn,MetaTest/Average/NumEpisodes,MetaTest/basketball-v2/MinReturn,TotalEnvSteps,MetaTest/Average/AverageDiscountedReturn,basketball-v2/AverageReturn,MetaTest/basketball-v2/Iteration,GaussianMLPPolicy/LossAfter,MetaTest/basketball-v2/AverageReturn,MetaTest/basketball-v2/TerminationRate,Average/StdReturn,MetaTest/Average/MaxReturn,Average/SuccessRate,Average/Iteration,GaussianMLPPolicy/dLoss
0.0,40.859556742566625,12.287696823098731,200,200,0.0,8.756181785938288,0.8339687992019055,40.859556742566625,0.0060455650091171265,5.713467597961426,0.0,0.8339687992019055,0,0.0,2.0646708615644815,10,5.7591178996589925,0.009805504232645035,8.756181785938288,12.287696823098733,2.0646708615644815,0.0,0,30.035959734529307,0.0,0.0,0,4.884120862816876,3.0196587782347413,10,3.0196587782347413,200000,12.287696823098731,5.7591178996589925,0,0.002499909373000264,12.287696823098733,0.0,4.884120862816876,30.035959734529307,0.0,0,0.0035456556361168623
0.0,30.385119253617468,12.018944988083174,200,200,0.0,9.882163401351605,0.6969904464966998,30.385119253617468,-0.0049454523250460625,5.678337574005127,0.0,0.6969904464966998,1,0.0,3.176279372650994,10,7.855939739591845,0.007061945740133524,9.882163401351605,12.018944988083174,3.176279372650994,0.0,1,36.46507363126297,0.0,0.0,1,5.132616184986794,4.18210091028039,10,4.18210091028039,400000,12.018944988083174,7.855939739591845,1,-0.005222161766141653,12.018944988083174,0.0,5.132616184986794,36.46507363126297,0.0,1,0.0002767094410955906
0.0,36.70121451016146,8.854418791166498,200,200,0.0,2.404958391713095,2.227376541981427,36.70121451016146,0.00018321424431633204,5.67535924911499,0.0,2.227376541981427,2,0.0,3.887346011828023,10,10.793533084621977,0.006444278173148632,2.404958391713095,8.854418791166504,3.887346011828023,0.0,2,12.246142211150499,0.0,0.0,2,6.390500612717472,4.531796291118214,10,4.531796291118214,600000,8.854418791166498,10.793533084621977,2,-0.001642376882955432,8.854418791166504,0.0,6.390500612717472,12.246142211150499,0.0,2,0.001825591127271764
0.0,107.65548970257831,9.25957273449712,200,200,0.0,4.23615665075162,2.1479848648087008,107.65548970257831,-0.00030861288541927934,5.673174858093262,0.0,2.1479848648087008,3,0.0,4.0347602713334,10,10.902810241638688,0.006436020135879517,4.23615665075162,9.259572734497114,4.0347602713334,0.0,3,16.294538398650403,0.0,0.0,3,9.291101349754188,1.8305161543553032,10,1.8305161543553032,800000,9.25957273449712,10.902810241638688,3,-0.0013112286105751991,9.259572734497114,0.0,9.291101349754188,16.294538398650403,0.0,3,0.0010026157251559198
0.0,43.59250655844323,14.632994824572076,200,200,0.0,10.664946556084528,0.893605771840631,43.59250655844323,0.0009386868914589286,5.686345100402832,0.0,0.893605771840631,4,0.0,4.508963520325879,10,13.392866557569624,0.00958083476871252,10.664946556084528,14.63299482457208,4.508963520325879,0.0,4,41.72162856696286,0.0,0.0,4,7.1743506534607775,2.3853460208281194,10,2.3853460208281194,1000000,14.632994824572076,13.392866557569624,4,-0.0003050467057619244,14.63299482457208,0.0,7.1743506534607775,41.72162856696286,0.0,4,0.001243733597220853
0.0,40.45178053776114,11.75222524268776,200,200,0.0,5.251875574184509,1.1917872495632555,40.45178053776114,0.0028848701622337103,5.711564540863037,0.0,1.1917872495632555,5,0.0,4.305832859451676,10,11.290460699130037,0.009811666794121265,5.251875574184509,11.75222524268776,4.305832859451676,0.0,5,18.334183927472022,0.0,0.0,5,6.806510194021492,4.630672229487316,10,4.630672229487316,1200000,11.75222524268776,11.290460699130037,5,0.001806488260626793,11.75222524268776,0.0,6.806510194021492,18.334183927472022,0.0,5,0.0010783819016069174
0.0,39.676453601764,12.97419039150902,200,200,0.0,7.835043926386512,2.131202860345842,39.676453601764,-0.003480623010545969,5.670215606689453,0.0,2.131202860345842,6,0.0,4.925198057878629,10,14.475808288611564,0.006462228484451771,7.835043926386512,12.97419039150903,4.925198057878629,0.0,6,32.94724196691164,0.0,0.0,6,8.337481995740658,2.96046498068787,10,2.96046498068787,1400000,12.97419039150902,14.475808288611564,6,-0.004252208396792412,12.97419039150903,0.0,8.337481995740658,32.94724196691164,0.0,6,0.0007715853862464428
0.0,66.54810825771077,11.849632418433217,200,200,0.0,6.689872062938077,2.494695123424286,66.54810825771077,0.004298553802073002,5.723297595977783,0.0,2.494695123424286,7,0.0,4.763860960079543,10,14.575125956336874,0.009556544944643974,6.689872062938077,11.84963241843322,4.763860960079543,0.0,7,24.19235426057064,0.0,0.0,7,8.633977821015025,3.7864680829820405,10,3.7864680829820405,1600000,11.849632418433217,14.575125956336874,7,0.002871487755328417,11.84963241843322,0.0,8.633977821015025,24.19235426057064,0.0,7,0.001427066046744585
0.0,33.92656928385678,12.155195348632292,200,200,0.0,5.369968703408684,1.797816755733324,33.92656928385678,-0.004775920882821083,5.677987098693848,0.0,1.797816755733324,8,0.0,4.46473755057966,10,12.097910986373318,0.006597758736461401,5.369968703408684,12.155195348632295,4.46473755057966,0.0,8,19.587917393673784,0.0,0.0,8,6.874223831112084,4.000414927962617,10,4.000414927962617,1800000,12.155195348632292,12.097910986373318,8,-0.006441040895879269,12.155195348632295,0.0,6.874223831112084,19.587917393673784,0.0,8,0.0016651200130581856
0.0,50.10649739426081,17.23313345981466,200,200,0.0,10.069987888016016,1.6135456068080662,50.10649739426081,-0.0007866240339353681,5.668949604034424,0.0,1.6135456068080662,9,0.0,4.682929208884069,10,14.037875673488276,0.00997585617005825,10.069987888016016,17.233133459814656,4.682929208884069,0.0,9,34.153970701376004,0.0,0.0,9,8.9045053938306,2.5666580211081955,10,2.5666580211081955,2000000,17.23313345981466,14.037875673488276,9,-0.0027372310869395733,17.233133459814656,0.0,8.9045053938306,34.153970701376004,0.0,9,0.0019506070530042052
