Average/AverageReturn,MetaTest/Average/NumEpisodes,basketball-v2/NumEpisodes,Average/MinReturn,MetaTest/basketball-v2/TerminationRate,basketball-v2/StdReturn,MetaTest/Average/MinReturn,MetaTest/basketball-v2/AverageDiscountedReturn,TotalEnvSteps,MetaTest/Average/SuccessRate,GaussianMLPPolicy/LossAfter,GaussianMLPPolicy/dLoss,basketball-v2/MaxReturn,basketball-v2/TerminationRate,MetaTest/basketball-v2/Iteration,MetaTest/Average/MaxReturn,MetaTest/basketball-v2/MinReturn,Average/MaxReturn,basketball-v2/AverageDiscountedReturn,Average/SuccessRate,Average/Iteration,basketball-v2/AverageReturn,basketball-v2/Iteration,MetaTest/basketball-v2/AverageReturn,GaussianMLPPolicy/KLAfter,basketball-v2/MinReturn,basketball-v2/SuccessRate,MetaTest/Average/AverageDiscountedReturn,Average/TerminationRate,MetaTest/Average/AverageReturn,MetaTest/Average/StdReturn,MetaTest/basketball-v2/StdReturn,GaussianMLPPolicy/Entropy,Average/AverageDiscountedReturn,MetaTest/basketball-v2/SuccessRate,Average/StdReturn,GaussianMLPPolicy/LossBefore,GaussianMLPPolicy/KLBefore,MetaTest/basketball-v2/NumEpisodes,Average/NumEpisodes,MetaTest/Average/Iteration,Iteration,MetaTest/Average/TerminationRate,MetaTest/basketball-v2/MaxReturn
6.492764164995877,50,200,1.0315311304014863,0.0,6.254758123849168,1.629081312751954,6.267360613301259,200000,0.0,-0.007745186798274517,0.004293392412364483,70.17282451524189,0.0,0,33.72824443076718,1.629081312751954,70.17282451524189,2.2410327531097396,0.0,0,6.492764164995877,0,6.26736061330126,0.006422553211450577,1.0315311304014863,0.0,6.267360613301259,0.0,6.26736061330126,5.082270172179018,5.082270172179018,5.665649890899658,2.2410327531097396,0.0,6.254758123849168,-0.003451794385910034,0.0,50,200,0,0,0.0,33.72824443076718
7.66514658708652,50,200,0.9520168146253803,0.0,6.438715217651409,1.7407104151633117,8.719754804415865,400000,0.0,-0.004089013673365116,0.003648549027275294,62.46814819778202,0.0,1,35.54549381309832,1.7407104151633117,62.46814819778202,2.6926410460795016,0.0,1,7.66514658708652,1,8.719754804415867,0.0064608072862029076,0.9520168146253803,0.0,8.719754804415865,0.0,8.719754804415867,6.863727162919313,6.863727162919313,5.669161796569824,2.6926410460795016,0.0,6.438715217651409,-0.00044046464608982205,0.0,50,200,1,1,0.0,35.54549381309832
7.0879524954457,50,200,0.6153635051735958,0.0,4.3837034329991384,0.9056726587446163,10.59461677779865,600000,0.0,-0.0035643826704472303,0.002631946583278477,24.549266573118445,0.0,2,206.56228132373067,0.9056726587446163,24.549266573118445,2.613932292634155,0.0,2,7.0879524954457,2,10.594616777798647,0.006399607751518488,0.6153635051735958,0.0,10.59461677779865,0.0,10.594616777798647,28.529220289089082,28.529220289089082,5.668505668640137,2.613932292634155,0.0,4.3837034329991384,-0.0009324360871687531,0.0,50,200,2,2,0.0,206.56228132373067
8.139503471833256,50,200,0.9547917206959432,0.0,19.599531067792174,1.1128845727924779,5.680395752675292,800000,0.0,-0.004085716791450977,0.0030479083070531487,275.07440349722793,0.0,3,16.305437491113896,1.1128845727924779,275.07440349722793,2.667180901349695,0.0,3,8.139503471833256,3,5.68039575267529,0.0064680143259465694,0.9547917206959432,0.0,5.680395752675292,0.0,5.68039575267529,3.505907178214132,3.505907178214132,5.666962623596191,2.667180901349695,0.0,19.599531067792174,-0.0010378084843978286,0.0,50,200,3,3,0.0,16.305437491113896
8.963943613501279,50,200,1.34505387133101,0.0,25.567483222442124,2.298546012329077,9.68358522513307,1000000,0.0,-0.001067239441908896,0.0027047519106417894,360.3604447817744,0.0,4,65.39294685797275,2.298546012329077,360.3604447817744,2.8598139165401117,0.0,4,8.963943613501279,4,9.68358522513307,0.006569782737642527,1.34505387133101,0.0,9.68358522513307,0.0,9.68358522513307,10.516577586585235,10.516577586585235,5.693408012390137,2.8598139165401117,0.0,25.567483222442124,0.0016375124687328935,0.0,50,200,4,4,0.0,65.39294685797275
9.62239520128607,50,200,1.106480679833875,0.0,15.22020941819021,1.4875148275922923,7.050649493674946,1200000,0.0,-0.008202509954571724,0.002087757922708988,183.71879484225423,0.0,5,27.872702440605448,1.4875148275922923,183.71879484225423,3.127514033471499,0.0,5,9.62239520128607,5,7.050649493674944,0.0066410256549716,1.106480679833875,0.0,7.050649493674946,0.0,7.050649493674944,5.512781398719437,5.512781398719437,5.651854991912842,3.127514033471499,0.0,15.22020941819021,-0.006114752031862736,0.0,50,200,5,5,0.0,27.872702440605448
8.175441377661254,50,200,1.268769137256988,0.0,14.577338936207818,2.6741631408152577,10.90571172071137,1400000,0.0,-0.012564368546009064,0.004098242148756981,199.25224956504783,0.0,6,62.681431761274936,2.6741631408152577,199.25224956504783,2.832672835986666,0.0,6,8.175441377661254,6,10.905711720711368,0.0067885019816458225,1.268769137256988,0.0,10.90571172071137,0.0,10.905711720711368,10.247783037192319,10.247783037192319,5.610592365264893,2.832672835986666,0.0,14.577338936207818,-0.008466126397252083,0.0,50,200,6,6,0.0,62.681431761274936
8.159423375952446,50,200,1.7235443583734829,0.0,6.237167969631173,2.1247069318363816,13.469639213289927,1600000,0.0,-0.004038925748318434,0.003919896014849655,33.630958959321,0.0,7,224.86779206675348,2.1247069318363816,33.630958959321,2.6078271777187947,0.0,7,8.159423375952446,7,13.469639213289936,0.00639705266803503,1.7235443583734829,0.0,13.469639213289927,0.0,13.469639213289936,31.42767278677334,31.42767278677334,5.611968040466309,2.6078271777187947,0.0,6.237167969631173,-0.00011902973346877843,0.0,50,200,7,7,0.0,224.86779206675348
8.396293062417104,50,200,1.2194397756096698,0.0,8.065140500485853,1.292897789884316,11.283738388101042,1800000,0.0,-0.00321558746509254,0.0026650283252820373,67.98635658397299,0.0,8,62.171340312995206,1.292897789884316,67.98635658397299,2.835456014636934,0.0,8,8.396293062417104,8,11.283738388101042,0.006406172178685665,1.2194397756096698,0.0,11.283738388101042,0.0,11.283738388101042,10.721193036316356,10.721193036316356,5.605907917022705,2.835456014636934,0.0,8.065140500485853,-0.0005505591398105025,0.0,50,200,8,8,0.0,62.171340312995206
10.294231620512337,50,200,0.6424064739223798,0.0,29.768656168207333,1.5184431233145264,9.88445691106174,2000000,0.0,-0.003953162580728531,0.002028451533988118,413.4247528860462,0.0,9,40.07382190370322,1.5184431233145264,413.4247528860462,3.1757890266177937,0.0,9,10.294231620512337,9,9.88445691106174,0.007007746957242489,0.6424064739223798,0.0,9.88445691106174,0.0,9.88445691106174,7.586614581477606,7.586614581477606,5.597348213195801,3.1757890266177937,0.0,29.768656168207333,-0.0019247110467404127,0.0,50,200,9,9,0.0,40.07382190370322
